SIZE_0,SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_4,SHAPE_5,SHAPE_6,SHAPE_7,SHAPE_8,SHAPE_9,SHAPE_10
209.1,0.690,0.467,1.987,1.161,1.341,1.217,1.260,1.067,3.253,0.383
199.0,0.495,0.459,2.250,1.313,1.322,1.182,1.599,1.083,3.214,0.383
212.2,0.615,0.470,1.961,1.315,1.300,1.206,1.473,1.083,3.329,0.375
204.5,0.574,0.471,1.975,1.300,1.236,1.128,1.471,1.098,3.350,0.385
200.1,0.561,0.470,2.045,1.388,1.241,1.129,1.513,1.084,3.259,0.386
223.1,0.485,0.451,2.262,1.223,1.226,1.118,1.584,1.005,3.170,0.419
205.6,0.589,0.498,2.122,1.270,1.268,1.186,1.469,1.036,3.386,0.390
205.4,0.515,0.474,2.213,1.281,1.278,1.169,1.440,1.036,3.095,0.394
199.4,0.576,0.459,2.072,1.338,1.297,1.129,1.425,1.067,3.151,0.366
201.9,0.502,0.476,2.265,1.308,1.321,1.208,1.600,0.979,3.449,0.385
251.7,0.911,0.508,1.898,0.984,1.488,1.392,1.294,0.964,3.404,0.424
213.9,0.580,0.487,2.078,1.203,1.378,1.111,1.415,1.100,3.190,0.388
210.1,0.581,0.476,2.024,1.232,1.305,1.145,1.459,1.013,3.483,0.396
223.5,0.623,0.469,1.950,1.106,1.527,1.360,1.469,0.954,3.207,0.395
200.9,0.557,0.467,2.140,1.365,1.233,1.175,1.435,1.027,3.327,0.370
215.2,0.535,0.459,2.140,1.356,1.270,1.125,1.426,1.048,3.434,0.375
216.6,0.669,0.493,1.991,1.228,1.359,1.193,1.339,1.062,3.460,0.395
204.0,0.484,0.470,2.299,1.490,1.336,1.086,1.505,1.080,3.279,0.387
190.8,0.563,0.455,2.115,1.292,1.511,1.200,1.674,1.073,3.135,0.389
214.5,0.507,0.468,2.149,1.385,1.365,1.134,1.555,1.052,3.301,0.408
202.5,0.562,0.479,2.239,1.267,1.254,1.213,1.534,1.080,3.371,0.381
211.4,0.576,0.452,1.924,1.325,1.308,1.220,1.490,1.085,3.316,0.393
198.0,0.530,0.480,2.026,1.238,1.305,1.232,1.683,1.053,3.295,0.374
214.1,0.614,0.468,1.939,1.279,1.313,1.155,1.276,1.164,3.188,0.380
193.5,0.641,0.464,1.974,1.240,1.304,1.187,1.562,1.004,3.200,0.347
209.7,0.517,0.469,2.210,1.328,1.233,1.230,1.573,1.118,3.257,0.391
204.3,0.564,0.469,2.034,1.349,1.248,1.112,1.650,1.038,3.238,0.385
193.7,0.617,0.459,2.132,1.302,1.426,1.219,1.528,1.034,3.261,0.357
198.7,0.619,0.470,2.047,1.312,1.340,1.224,1.471,1.061,3.279,0.371
220.5,0.621,0.475,2.047,1.315,1.319,1.190,1.392,1.171,3.252,0.396
191.6,0.526,0.466,2.295,1.436,1.436,1.266,1.450,1.069,3.292,0.364
206.6,0.514,0.475,2.367,1.303,1.267,1.263,1.512,0.987,3.314,0.405
208.2,0.572,0.446,2.103,1.259,1.313,1.223,1.480,0.969,3.371,0.380
195.5,0.519,0.469,2.272,1.339,1.341,1.163,1.544,1.003,3.408,0.351
203.4,0.515,0.490,2.053,1.345,1.170,1.141,1.655,1.001,3.297,0.354
203.6,0.544,0.459,2.108,1.286,1.321,1.202,1.604,1.011,3.280,0.379
221.2,0.482,0.443,2.023,1.232,1.273,1.149,1.573,0.953,3.157,0.438
250.6,0.959,0.483,1.988,0.913,1.394,1.501,1.266,0.898,3.064,0.405
194.4,0.646,0.473,2.007,1.266,1.306,1.215,1.409,1.104,3.209,0.353
199.5,0.508,0.472,2.116,1.276,1.358,1.164,1.572,0.914,3.316,0.378
200.8,0.546,0.478,2.052,1.260,1.226,1.084,1.542,0.995,3.205,0.376
211.2,0.548,0.468,2.188,1.231,1.359,1.213,1.508,1.073,3.228,0.390
203.0,0.575,0.460,2.163,1.272,1.358,1.189,1.515,1.018,3.000,0.375
207.4,0.597,0.465,2.048,1.298,1.432,1.182,1.515,1.011,3.230,0.379
221.3,0.626,0.461,2.037,1.199,1.226,1.118,1.418,1.057,3.232,0.406
219.8,0.572,0.477,1.888,1.358,1.329,1.192,1.527,1.099,3.274,0.376
217.9,0.488,0.442,2.054,1.310,1.359,1.236,1.587,0.996,3.268,0.411
207.2,0.546,0.471,2.082,1.280,1.288,1.171,1.430,1.074,3.282,0.405
204.4,0.630,0.446,1.807,1.279,1.414,1.205,1.383,1.064,3.037,0.368
203.0,0.609,0.454,1.919,1.178,1.348,1.148,1.463,1.028,3.172,0.389
210.5,0.560,0.469,2.061,1.278,1.319,1.113,1.496,1.041,3.192,0.404
206.7,0.495,0.454,2.140,1.323,1.342,1.143,1.475,0.987,3.407,0.377
216.4,0.653,0.458,2.111,1.143,1.641,1.326,1.306,0.975,3.218,0.371
206.3,0.534,0.467,2.194,1.264,1.367,1.231,1.458,1.079,3.280,0.404
219.9,0.585,0.449,2.103,1.250,1.407,1.246,1.428,1.007,3.114,0.394
203.7,0.510,0.477,2.221,1.363,1.333,1.116,1.537,1.107,3.392,0.387
222.2,0.520,0.450,2.125,1.225,1.372,1.188,1.493,0.959,3.224,0.405
214.6,0.626,0.470,2.103,1.389,1.371,1.225,1.465,1.060,3.280,0.381
220.0,0.592,0.465,2.090,1.115,1.370,1.231,1.415,0.969,3.238,0.393
200.0,0.537,0.473,2.207,1.238,1.255,1.173,1.591,1.034,3.238,0.356
202.1,0.558,0.480,2.121,1.355,1.387,1.155,1.463,1.094,3.322,0.383
211.1,0.617,0.485,1.908,1.229,1.309,1.142,1.468,1.041,3.210,0.389
232.7,0.738,0.472,1.973,1.094,1.363,1.177,1.289,1.034,3.189,0.407
206.6,0.542,0.480,2.066,1.282,1.313,1.163,1.651,0.929,3.269,0.402
199.9,0.624,0.488,2.091,1.225,1.317,1.186,1.445,1.035,3.300,0.374
210.6,0.539,0.440,2.175,1.420,1.395,1.209,1.469,1.094,3.208,0.408
222.7,0.585,0.465,2.051,1.275,1.320,1.159,1.327,1.082,3.396,0.409
202.9,0.501,0.467,2.133,1.308,1.213,1.104,1.546,1.049,3.198,0.384
195.7,0.554,0.455,2.073,1.322,1.318,1.122,1.488,1.082,3.290,0.352
201.7,0.585,0.459,1.937,1.197,1.283,1.170,1.403,1.015,3.181,0.358
186.5,0.541,0.466,2.202,1.467,1.363,1.135,1.545,1.106,3.225,0.363
189.1,0.555,0.499,2.142,1.214,1.276,1.143,1.568,1.041,3.371,0.352
212.0,0.595,0.487,2.213,1.243,1.450,1.189,1.447,1.037,3.344,0.393
211.7,0.566,0.479,2.077,1.287,1.373,1.250,1.429,1.081,3.189,0.370
200.7,0.473,0.460,2.303,1.484,1.351,1.087,1.672,1.018,3.195,0.388
214.0,0.653,0.494,2.073,1.359,1.340,1.160,1.271,1.062,3.392,0.371
180.6,0.480,0.509,2.276,1.433,1.307,1.048,1.712,0.998,3.462,0.324
214.9,0.674,0.478,2.018,1.101,1.311,1.252,1.388,0.979,3.022,0.375
200.3,0.485,0.488,2.334,1.259,1.215,1.121,1.621,0.954,3.500,0.390
180.6,0.660,0.490,1.968,1.322,1.391,1.149,1.442,1.108,3.267,0.318
218.2,0.666,0.470,1.954,1.206,1.297,1.282,1.328,1.034,3.301,0.389
199.5,0.537,0.459,2.126,1.230,1.324,1.264,1.530,1.108,3.173,0.381
233.3,0.700,0.473,1.918,1.202,1.338,1.343,1.297,1.110,3.204,0.424
202.7,0.540,0.468,2.120,1.330,1.247,1.176,1.661,1.006,3.247,0.375
215.9,0.555,0.469,2.183,1.311,1.334,1.200,1.486,1.107,3.383,0.399
