SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_8,SHAPE_9
0.766,0.440,2.126,1.018,3.111
0.557,0.449,2.368,0.813,3.203
0.501,0.440,2.365,0.941,3.277
0.530,0.462,2.545,0.935,3.249
0.548,0.453,2.233,0.884,3.362
0.494,0.464,2.425,0.907,3.286
0.513,0.451,2.633,0.960,3.312
0.683,0.443,2.300,0.935,3.213
0.537,0.463,2.395,0.926,3.212
0.528,0.461,2.402,0.895,3.119
0.557,0.476,2.421,0.931,3.221
0.542,0.463,2.362,0.846,3.349
0.489,0.463,2.475,0.963,3.224
0.495,0.460,2.512,0.985,3.277
0.582,0.450,2.277,0.939,3.220
0.637,0.454,2.463,0.985,3.342
0.631,0.435,2.265,0.987,3.262
0.570,0.468,2.373,0.903,3.305
0.528,0.445,2.454,0.929,3.220
0.541,0.456,2.351,0.886,3.245
0.535,0.459,2.371,0.908,3.286
0.479,0.445,2.361,0.879,3.133
0.524,0.463,2.441,0.952,3.243
0.582,0.465,2.296,0.886,3.348
0.503,0.417,2.145,0.906,3.073
0.488,0.447,2.357,0.934,3.163
0.551,0.456,2.413,0.877,3.261
0.569,0.448,2.315,0.886,3.265
0.528,0.453,2.284,0.908,3.164
0.569,0.456,2.357,0.924,3.098
0.564,0.458,2.412,0.904,3.261
0.526,0.443,2.527,0.979,3.176
0.568,0.438,2.293,0.988,3.043
0.631,0.452,2.164,0.917,3.388
0.496,0.452,2.320,0.935,3.209
0.514,0.453,2.408,0.931,3.219
0.565,0.447,2.337,0.875,3.146
0.686,0.446,2.428,0.971,3.226
0.534,0.447,2.360,0.929,3.139
0.521,0.451,2.400,0.989,3.174
0.708,0.443,2.216,0.907,3.192
0.501,0.463,2.386,0.863,3.217
0.553,0.469,2.473,0.874,3.147
0.535,0.456,2.424,0.924,3.187
0.565,0.427,2.330,0.957,3.091
0.569,0.462,2.390,0.935,3.225
0.626,0.464,2.298,0.945,3.198
0.581,0.470,2.394,0.941,3.256
0.605,0.441,2.318,0.938,3.239
0.560,0.437,2.349,0.934,3.240
0.543,0.461,2.258,0.829,3.239
0.625,0.464,2.252,0.940,3.212
0.711,0.473,2.256,0.847,3.304
0.496,0.469,2.469,0.918,3.248
0.548,0.452,2.262,0.873,3.163
0.594,0.436,2.376,0.940,3.141
0.597,0.456,2.233,0.885,3.133
0.559,0.450,2.225,0.951,3.291
0.496,0.452,2.383,0.951,3.224
0.564,0.455,2.367,0.923,3.153
0.551,0.439,2.258,0.960,3.158
0.608,0.468,2.301,0.888,3.368
0.480,0.459,2.375,0.911,3.255
0.464,0.452,2.199,0.905,3.178
0.550,0.467,2.294,0.865,3.203
0.593,0.440,2.348,0.910,3.225
0.748,0.472,2.227,0.873,3.306
0.573,0.456,2.345,0.935,2.980
0.504,0.431,2.403,0.918,3.001
0.499,0.437,2.329,0.884,3.214
0.681,0.433,2.263,0.975,3.118
0.685,0.443,2.301,0.924,3.172
0.481,0.466,2.534,0.948,3.264
0.484,0.448,2.450,0.962,3.092
0.516,0.460,2.543,0.912,3.295
0.522,0.441,2.390,0.909,3.076
0.553,0.449,2.420,0.997,3.102
0.535,0.440,2.441,0.922,3.164
0.629,0.478,2.300,0.871,3.239
0.546,0.463,2.293,0.881,3.195
0.529,0.443,2.442,0.853,3.192
0.526,0.459,2.235,0.864,3.120
0.497,0.439,2.456,1.033,3.051
0.534,0.476,2.458,0.900,3.319
0.477,0.474,2.471,0.904,3.294
0.513,0.454,2.401,0.874,3.221
0.631,0.468,2.261,0.882,3.342
0.541,0.468,2.415,0.943,3.391
0.491,0.469,2.398,0.845,3.161
0.551,0.477,2.345,0.868,3.363
0.640,0.449,2.307,0.906,3.240
0.462,0.429,2.378,0.903,3.006
0.480,0.487,2.416,0.875,3.218
0.511,0.469,2.434,0.931,3.313
0.788,0.437,2.237,0.941,3.110
0.582,0.439,2.339,0.896,3.176
0.695,0.488,2.264,0.848,3.317
0.843,0.458,2.141,0.914,3.211
0.812,0.452,2.041,0.921,3.103
0.725,0.407,2.314,0.755,3.123
0.601,0.443,2.435,0.887,3.145
0.666,0.461,2.235,0.977,3.268
0.541,0.460,2.366,0.864,3.219
0.613,0.461,2.389,0.960,3.323
0.567,0.477,2.207,0.956,3.326
0.618,0.442,2.388,0.890,3.300
0.520,0.478,2.395,0.928,3.177
0.533,0.457,2.279,0.851,3.159
0.737,0.452,2.161,0.944,3.200
0.586,0.435,2.281,0.856,3.035
0.822,0.424,2.203,0.925,3.108
0.689,0.462,2.138,0.993,3.277
0.624,0.464,2.184,0.932,3.213
0.544,0.435,2.236,0.854,3.051
0.568,0.448,2.269,0.906,3.119
0.594,0.446,2.305,0.888,3.124
0.544,0.474,2.400,0.892,3.095
0.682,0.445,2.211,0.894,3.189
0.618,0.450,2.379,0.945,3.140
0.477,0.448,2.405,0.904,3.135
0.488,0.473,2.309,0.859,3.311
0.489,0.454,2.296,0.915,3.144
0.546,0.448,2.303,0.962,3.083
0.732,0.461,2.092,0.971,3.314
0.552,0.447,2.321,0.929,2.977
0.578,0.445,2.149,0.928,3.103
0.515,0.446,2.242,0.890,3.043
0.671,0.463,2.483,0.880,3.386
0.547,0.445,2.465,0.873,3.294
0.590,0.417,2.224,0.956,2.953
0.559,0.451,2.481,0.997,2.990
0.638,0.478,2.232,0.913,3.104
0.561,0.432,2.337,0.883,3.005
0.556,0.450,2.390,0.977,3.254
0.529,0.435,2.284,0.921,3.226
0.524,0.436,2.269,0.954,2.982
0.505,0.466,2.335,0.882,3.069
0.507,0.443,2.229,0.861,3.265
0.527,0.470,2.424,0.973,3.201
0.515,0.456,2.513,0.971,3.248
0.750,0.456,2.163,0.950,3.173
0.515,0.481,2.354,0.946,3.361
0.642,0.472,2.295,0.865,3.281
0.558,0.482,2.232,0.853,3.400
0.590,0.453,2.286,1.004,3.218
0.521,0.462,2.298,0.858,3.042
0.527,0.454,2.238,0.838,3.196
0.594,0.449,2.297,0.903,3.247
0.502,0.472,2.387,0.879,3.266
0.473,0.453,2.312,0.895,3.175
0.518,0.453,2.298,0.801,3.186
0.517,0.477,2.245,0.956,3.310
0.622,0.456,2.172,0.941,3.135
0.656,0.467,2.286,0.960,3.288
0.820,0.482,2.202,0.997,3.222
0.618,0.463,2.279,0.878,3.269
0.545,0.467,2.413,0.825,3.218
0.568,0.472,2.329,0.897,3.361
0.698,0.453,2.169,0.985,3.149
0.562,0.472,2.269,0.913,3.343
0.656,0.470,2.241,0.877,3.201
0.562,0.441,2.342,0.906,3.194
0.588,0.452,2.280,0.865,3.212
0.533,0.471,2.420,0.889,3.245
0.596,0.465,2.274,0.875,3.140
0.576,0.461,2.284,0.937,3.123
0.567,0.486,2.394,0.895,3.233
0.638,0.443,2.282,0.891,3.141
0.613,0.462,2.291,0.974,3.117
0.517,0.457,2.535,0.914,3.139
0.765,0.472,2.211,0.952,3.187
0.545,0.473,2.406,0.949,3.261
0.572,0.457,2.311,0.906,3.057
0.687,0.463,2.214,0.944,3.201
0.502,0.474,2.297,0.898,3.219
0.545,0.451,2.348,0.870,3.177
0.504,0.467,2.450,0.924,3.380
0.587,0.456,2.268,0.829,3.095
0.551,0.459,2.349,0.941,3.140
0.615,0.451,2.364,0.946,3.181
0.524,0.467,2.399,0.908,3.270
0.456,0.435,2.324,0.846,3.142
0.483,0.461,2.301,0.854,3.205
0.518,0.455,2.320,0.888,3.201
0.697,0.448,2.195,1.036,3.258
0.550,0.452,2.278,0.917,3.203
0.612,0.455,2.377,0.928,3.115
0.503,0.467,2.391,0.955,3.375
0.521,0.455,2.316,0.892,3.119
0.505,0.465,2.488,0.855,3.106
0.653,0.488,2.242,0.953,3.218
0.687,0.467,2.208,1.005,3.097
0.498,0.438,2.366,0.946,3.151
0.549,0.454,2.268,0.881,3.216
0.508,0.440,2.226,0.941,3.091
0.593,0.464,2.317,0.865,3.324
0.506,0.455,2.371,0.855,3.298
0.628,0.466,2.388,0.898,3.265
0.638,0.462,2.136,0.937,3.143
0.535,0.479,2.352,0.897,3.187
0.694,0.462,2.246,0.907,3.216
0.529,0.459,2.381,0.932,3.120
0.502,0.462,2.457,0.940,3.251
0.516,0.431,2.319,0.825,3.145
0.682,0.441,2.271,0.997,3.174
0.533,0.476,2.376,0.861,3.096
0.596,0.466,2.283,0.990,3.151
0.469,0.454,2.303,0.866,3.066
0.476,0.468,2.406,0.898,3.164
0.912,0.452,2.179,0.976,3.262
0.552,0.454,2.273,0.892,3.275
0.550,0.462,2.462,0.895,3.192
0.717,0.459,2.120,0.986,3.132
0.581,0.435,2.181,0.799,3.044
0.597,0.456,2.277,0.882,3.285
0.532,0.473,2.375,0.875,3.244
0.482,0.469,2.313,0.923,3.306
0.579,0.439,2.266,0.964,3.138
0.534,0.458,2.220,0.841,3.164
0.479,0.459,2.429,0.872,3.362
0.544,0.449,2.403,0.921,3.092
0.726,0.462,2.146,0.864,3.285
0.504,0.467,2.455,0.910,3.060
0.702,0.464,2.192,0.949,3.151
0.482,0.457,2.421,0.864,3.092
0.539,0.435,2.297,0.853,3.088
0.553,0.470,2.355,0.922,3.129
0.608,0.467,2.274,0.928,3.276
0.584,0.477,2.432,0.972,3.202
0.473,0.456,2.550,0.940,3.217
0.489,0.454,2.362,0.866,3.249
0.498,0.451,2.338,0.949,3.321
0.644,0.474,2.358,0.903,3.259
0.545,0.460,2.450,0.910,3.219
0.541,0.455,2.469,0.892,3.243
0.553,0.440,2.191,0.938,3.115
0.494,0.468,2.395,0.847,3.194
0.571,0.462,2.340,0.908,3.225
0.586,0.456,2.325,0.844,3.084
0.554,0.442,2.300,0.904,3.163
0.551,0.464,2.331,0.852,3.200
0.569,0.479,2.336,0.896,3.286
0.694,0.466,2.121,0.952,3.021
0.560,0.472,2.350,0.877,3.228
0.555,0.460,2.324,0.969,3.200
0.545,0.459,2.292,0.934,3.402
0.501,0.467,2.480,0.977,3.265
0.662,0.460,2.267,0.977,3.318
0.572,0.456,2.365,0.905,3.250
0.688,0.437,2.247,0.979,3.344
0.577,0.446,2.363,0.990,3.192
0.524,0.472,2.537,0.935,3.282
0.555,0.458,2.334,0.859,3.262
0.667,0.457,2.366,0.956,3.297
0.544,0.469,2.441,0.980,3.308
0.518,0.461,2.368,0.907,3.132
0.499,0.468,2.345,0.960,3.209
0.551,0.469,2.380,0.927,2.988
0.641,0.453,2.434,0.985,3.245
0.549,0.476,2.238,0.814,3.203
0.531,0.478,2.492,0.938,3.229
0.529,0.476,2.364,0.890,3.189
0.566,0.452,2.389,0.896,3.188
0.613,0.483,2.448,0.811,3.247
0.804,0.461,2.328,0.892,3.327
0.762,0.482,2.149,0.932,3.265
0.540,0.453,2.343,0.919,3.081
0.493,0.476,2.454,0.903,3.204
0.594,0.464,2.254,0.853,3.232
0.504,0.458,2.397,0.857,3.133
0.788,0.463,2.120,0.896,3.207
0.530,0.475,2.370,0.904,3.364
0.574,0.465,2.277,0.974,3.195
0.620,0.456,2.389,0.873,3.059
0.494,0.450,2.363,0.942,3.219
0.493,0.457,2.244,0.934,3.232
0.763,0.445,2.105,1.036,3.325
0.521,0.472,2.292,0.834,3.212
0.482,0.471,2.357,0.915,3.164
0.487,0.466,2.339,0.907,3.220
0.533,0.455,2.276,0.910,3.118
0.563,0.490,2.337,0.938,3.400
0.557,0.479,2.419,0.904,3.217
0.510,0.461,2.279,0.822,3.155
0.525,0.482,2.345,0.908,3.253
0.703,0.467,2.211,0.971,3.182
0.495,0.492,2.387,0.905,3.399
0.511,0.452,2.264,0.832,3.206
0.490,0.472,2.426,0.853,3.295
0.528,0.461,2.355,0.926,3.286
0.440,0.471,2.494,0.949,3.308
0.516,0.448,2.272,0.930,3.213
0.704,0.472,2.168,0.924,3.335
0.615,0.463,2.246,0.874,3.236
0.564,0.473,2.399,0.896,3.178
0.522,0.479,2.355,0.855,3.260
0.569,0.458,2.455,1.010,3.028
0.555,0.458,2.348,0.929,3.214
0.599,0.465,2.326,0.886,3.213
0.568,0.444,2.215,0.906,3.056
0.592,0.451,2.253,0.869,3.129
0.554,0.473,2.586,0.863,3.300
0.759,0.442,2.266,0.935,3.199
0.578,0.447,2.328,0.946,3.285
0.680,0.451,2.392,0.945,3.025
0.511,0.456,2.389,0.895,3.127
0.526,0.457,2.305,0.964,3.250
0.675,0.430,2.245,0.975,2.971
0.631,0.452,2.350,0.950,3.217
0.555,0.453,2.181,0.908,3.119
0.606,0.456,2.309,0.977,3.169
0.538,0.447,2.257,0.877,3.187
0.501,0.470,2.356,0.892,3.317
0.463,0.454,2.504,0.900,3.196
0.753,0.462,2.228,0.858,3.208
0.509,0.459,2.364,0.875,3.174
0.510,0.472,2.403,0.945,3.162
0.580,0.461,2.251,0.907,3.240
0.553,0.440,2.268,0.910,3.209
0.614,0.443,2.260,0.921,3.098
0.627,0.467,2.325,0.847,3.329
0.514,0.454,2.496,0.969,3.258
0.656,0.471,2.318,0.913,3.197
0.552,0.443,2.322,0.952,3.145
0.707,0.457,2.210,0.986,3.088
0.646,0.450,2.347,0.919,3.064
0.536,0.475,2.405,0.938,3.268
0.614,0.453,2.312,0.852,3.191
0.659,0.464,2.161,0.907,3.233
0.591,0.460,2.499,0.811,3.212
0.514,0.434,2.395,0.952,3.112
0.624,0.458,2.240,0.898,3.095
0.580,0.464,2.377,0.879,3.135
0.524,0.471,2.295,0.840,3.214
0.499,0.457,2.313,0.865,3.071
0.525,0.446,2.263,0.853,3.020
0.556,0.447,2.267,0.897,3.227
0.528,0.466,2.320,0.910,3.280
0.775,0.451,2.311,0.868,3.204
0.529,0.458,2.274,0.932,3.231
0.535,0.469,2.386,0.911,3.167
0.473,0.476,2.406,0.884,3.269
0.460,0.463,2.443,0.907,3.179
0.515,0.448,2.310,0.898,3.136
0.507,0.461,2.405,0.886,3.089
0.551,0.468,2.396,0.860,3.324
0.529,0.464,2.279,0.892,3.293
0.569,0.454,2.437,0.911,3.219
0.523,0.457,2.290,0.875,3.167
0.490,0.451,2.361,0.877,3.242
0.573,0.444,2.339,0.934,3.112
0.588,0.436,2.252,0.979,3.081
0.527,0.443,2.384,0.987,2.968
0.494,0.451,2.235,0.901,3.183
0.526,0.477,2.318,0.824,3.229
0.615,0.446,2.291,0.826,3.184
0.639,0.465,2.212,0.870,3.137
0.583,0.445,2.325,0.883,3.231
0.603,0.470,2.232,0.969,3.142
0.511,0.464,2.296,0.845,3.276
0.482,0.458,2.315,0.827,3.102
0.535,0.461,2.443,0.866,3.238
0.619,0.445,2.238,0.954,3.123
0.473,0.448,2.446,0.935,3.174
0.591,0.453,2.194,0.884,3.124
0.620,0.463,2.403,0.869,3.174
0.500,0.477,2.447,0.923,3.325
0.598,0.462,2.327,0.893,3.276
0.480,0.473,2.373,0.906,3.240
0.492,0.461,2.368,0.841,3.177
0.539,0.464,2.292,0.830,3.347
0.624,0.471,2.352,0.887,3.244
0.733,0.442,2.272,0.995,3.224
0.502,0.460,2.360,0.950,3.180
0.485,0.450,2.296,0.901,3.193
0.527,0.477,2.289,0.881,3.347
0.543,0.446,2.375,0.929,3.049
0.805,0.449,2.175,0.951,3.040
0.629,0.440,2.269,0.902,3.136
0.531,0.459,2.426,0.950,3.114
0.695,0.465,2.229,0.931,3.301
0.510,0.472,2.357,0.855,3.101
0.564,0.459,2.194,0.839,3.115
0.523,0.453,2.279,0.891,3.122
0.504,0.476,2.383,0.865,3.187
0.493,0.445,2.443,0.883,2.985
0.483,0.476,2.461,0.946,3.213
0.675,0.450,2.249,0.904,3.186
0.554,0.464,2.316,0.912,3.160
0.576,0.479,2.289,0.835,3.230
0.610,0.469,2.262,0.968,3.274
0.506,0.471,2.353,0.909,3.286
0.551,0.459,2.354,0.896,3.173
0.502,0.460,2.320,0.882,3.113
0.492,0.460,2.286,0.958,3.094
0.628,0.466,2.354,0.901,3.219
0.565,0.471,2.314,0.906,3.173
0.716,0.479,2.152,0.868,3.413
0.544,0.445,2.461,0.883,3.005
0.504,0.459,2.355,0.871,3.145
0.547,0.463,2.362,0.949,3.157
0.553,0.465,2.334,0.887,3.208
0.579,0.444,2.223,0.829,3.024
0.494,0.479,2.359,0.885,3.126
0.512,0.440,2.312,0.902,2.983
0.492,0.455,2.453,0.930,3.175
0.688,0.469,2.218,0.978,3.088
0.549,0.449,2.277,0.828,3.164
0.534,0.448,2.395,0.900,3.170
0.714,0.467,2.270,0.861,3.141
0.484,0.464,2.374,0.913,3.110
0.865,0.471,2.177,0.860,3.307
0.613,0.442,2.267,0.879,3.076
0.602,0.467,2.439,0.944,3.261
0.509,0.468,2.370,0.896,3.150
0.489,0.478,2.408,0.838,3.212
0.558,0.483,2.325,0.866,3.165
0.600,0.484,2.283,0.861,3.269
0.521,0.468,2.453,0.927,3.248
0.884,0.483,2.295,0.946,3.304
0.563,0.453,2.256,0.858,3.097
0.471,0.472,2.496,0.867,3.134
0.506,0.445,2.260,0.900,3.295
0.641,0.459,2.294,0.961,3.117
0.538,0.459,2.305,0.941,3.179
0.547,0.460,2.338,0.870,3.142
0.582,0.459,2.281,0.883,3.115
0.656,0.460,2.220,0.942,3.222
0.528,0.450,2.335,0.942,3.077
0.493,0.440,2.429,0.929,3.124
0.639,0.455,2.362,0.934,3.099
0.571,0.457,2.373,0.903,3.263
0.540,0.465,2.289,0.932,3.270
0.569,0.443,2.249,0.957,3.092
0.684,0.464,2.388,0.872,3.193
0.507,0.471,2.325,0.866,3.215
0.596,0.450,2.311,0.878,3.068
0.637,0.451,2.258,0.957,3.178
0.546,0.464,2.285,0.933,3.113
0.548,0.466,2.235,0.918,3.228
0.514,0.448,2.296,0.942,3.395
0.520,0.480,2.446,0.839,3.267
0.509,0.463,2.323,0.875,3.184
0.712,0.461,2.320,0.924,3.186
0.505,0.483,2.488,0.853,3.304
0.590,0.465,2.262,0.951,3.206
0.486,0.446,2.369,0.932,3.161
0.621,0.464,2.259,0.893,3.006
0.532,0.445,2.464,0.926,3.101
0.555,0.470,2.348,0.897,3.272
0.487,0.462,2.503,0.935,3.184
0.521,0.453,2.366,0.850,3.092
0.756,0.459,2.241,0.938,3.184
0.720,0.469,2.214,0.924,3.199
0.759,0.443,2.278,0.817,3.145
0.562,0.450,2.287,0.899,3.040
0.542,0.444,2.261,0.835,3.250
0.552,0.449,2.372,0.896,3.207
0.557,0.461,2.454,0.913,3.191
0.491,0.445,2.317,0.884,3.162
0.542,0.455,2.236,0.931,3.158
0.485,0.470,2.375,0.911,3.388
0.575,0.433,2.296,0.927,2.968
0.525,0.472,2.392,0.937,3.348
0.598,0.471,2.390,0.976,3.272
0.518,0.466,2.410,0.914,3.054
0.585,0.455,2.249,0.875,3.185
0.517,0.465,2.456,0.939,3.186
0.527,0.455,2.212,0.869,3.217
0.724,0.442,2.295,0.857,2.915
0.562,0.457,1.799,0.949,3.300
0.528,0.459,2.450,0.915,3.132
0.477,0.445,2.304,0.899,3.009
0.490,0.449,2.353,0.898,3.160
0.547,0.456,2.375,0.890,3.158
0.668,0.439,2.323,0.843,3.160
0.534,0.443,2.364,0.948,3.111
0.558,0.475,2.361,0.994,3.309
0.497,0.439,2.394,0.859,3.124
0.487,0.450,2.434,0.889,3.183
0.512,0.465,2.246,0.866,3.121
0.496,0.438,2.328,0.924,2.997
0.528,0.464,2.386,0.893,3.182
0.623,0.471,2.374,0.928,3.297
0.547,0.465,2.400,0.934,3.208
0.489,0.470,2.408,0.921,3.256
0.535,0.451,2.274,0.954,3.226
0.550,0.454,2.352,0.912,3.173
0.502,0.448,2.410,0.873,3.176
0.480,0.477,2.389,0.900,3.255
0.497,0.475,2.401,0.905,3.194
0.496,0.457,2.441,0.837,3.090
0.607,0.475,2.328,0.840,3.296
0.507,0.449,2.271,0.897,3.256
0.534,0.474,2.348,0.905,3.232
0.524,0.467,2.360,0.849,3.262
0.517,0.491,2.418,0.877,3.429
0.537,0.463,2.366,0.886,3.202
0.617,0.449,2.281,0.875,3.126
0.552,0.456,2.366,0.979,3.208
0.523,0.466,2.334,0.876,3.306
0.548,0.447,2.307,0.958,3.288
0.565,0.482,2.231,0.880,3.211
0.513,0.452,2.243,0.841,3.174
0.484,0.468,2.368,0.876,3.079
0.550,0.480,2.283,0.877,3.307
0.489,0.469,2.390,0.872,3.220
0.508,0.458,2.293,0.878,3.300
0.545,0.456,2.262,0.915,3.141
0.600,0.479,2.370,0.879,3.156
0.562,0.467,2.341,0.832,3.239
0.742,0.467,2.283,0.748,3.131
0.692,0.456,2.240,1.025,2.971
0.579,0.478,2.212,0.971,3.324
0.650,0.451,2.164,0.979,3.101
0.496,0.460,2.478,0.967,3.100
0.626,0.471,2.213,0.869,3.264
0.511,0.464,2.468,0.876,3.211
0.514,0.460,2.372,0.917,3.195
0.584,0.473,2.176,0.868,3.163
0.634,0.460,2.290,0.848,3.324
0.607,0.474,2.314,0.910,3.125
0.731,0.471,2.248,0.876,3.346
0.492,0.474,2.358,0.847,3.263
0.534,0.454,2.345,0.907,3.208
0.694,0.463,2.259,1.005,3.183
0.705,0.463,2.181,0.955,3.203
0.717,0.485,2.406,0.958,3.499
0.658,0.455,2.295,0.834,3.165
0.489,0.472,2.366,0.857,3.298
0.713,0.455,2.199,0.876,3.105
0.499,0.476,2.471,0.843,3.328
0.670,0.461,2.226,0.933,3.217
0.762,0.487,2.192,0.997,3.337
0.587,0.471,2.345,0.943,3.217
