SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_7,SHAPE_8,SHAPE_9
0.495,0.451,2.274,1.759,0.942,3.079
0.510,0.448,2.340,1.909,0.895,3.248
0.527,0.443,2.329,1.853,0.957,3.098
0.563,0.431,2.418,1.914,0.993,3.004
0.597,0.448,2.457,1.724,1.147,3.154
0.595,0.447,2.391,1.781,1.051,3.177
0.501,0.447,2.558,1.758,0.908,3.319
0.558,0.457,2.370,1.692,0.964,3.389
0.563,0.440,2.330,1.742,0.948,3.146
0.566,0.441,2.427,1.821,1.006,3.144
0.490,0.428,2.335,1.753,0.817,3.226
0.485,0.437,2.508,1.941,0.962,3.302
0.605,0.437,2.349,1.774,0.966,3.152
0.548,0.448,2.485,1.766,0.922,3.332
0.521,0.442,2.387,1.844,1.008,3.180
0.626,0.461,2.331,1.558,0.918,3.151
0.505,0.441,2.384,1.864,0.962,3.308
0.591,0.449,2.186,1.562,1.000,3.237
0.525,0.441,2.392,1.737,0.910,3.211
0.604,0.446,2.285,1.769,0.977,3.323
0.525,0.442,2.228,1.753,0.927,3.293
0.525,0.444,2.350,1.776,0.971,3.243
0.638,0.454,2.213,1.561,0.925,3.098
0.504,0.455,2.504,1.753,0.928,3.165
0.602,0.451,2.404,1.757,0.998,3.383
0.546,0.448,2.330,1.849,0.943,3.338
0.511,0.457,2.524,1.853,1.008,3.342
0.595,0.441,2.396,1.746,0.979,3.176
0.467,0.464,2.377,1.873,0.939,3.318
0.608,0.463,2.299,1.829,0.912,3.340
0.592,0.427,2.309,1.855,0.889,3.215
0.487,0.458,2.302,1.868,0.883,3.200
0.495,0.452,2.458,1.850,0.954,3.076
0.562,0.447,2.368,1.627,0.913,3.152
0.475,0.444,2.432,1.851,0.933,3.096
0.471,0.446,2.388,1.811,0.932,3.228
0.514,0.459,2.508,1.915,0.946,3.194
0.539,0.471,2.296,1.870,0.883,3.425
0.758,0.445,2.269,1.401,0.938,3.155
0.519,0.450,2.400,1.798,0.921,3.200
0.537,0.454,2.275,1.606,0.993,3.137
0.576,0.466,2.381,1.630,0.983,3.431
0.485,0.453,2.404,1.796,0.920,3.255
0.504,0.441,2.622,1.966,0.986,3.089
0.505,0.456,2.604,1.970,1.029,3.114
0.579,0.468,2.258,1.749,0.957,3.237
0.550,0.472,2.441,1.895,0.935,3.330
0.776,0.478,2.136,1.443,0.982,3.298
0.613,0.444,2.331,1.648,0.931,3.234
0.500,0.444,2.351,1.780,0.894,3.196
0.624,0.458,2.466,1.725,0.905,3.236
0.510,0.443,2.306,1.781,0.943,3.215
0.480,0.444,2.446,1.826,0.862,3.169
0.537,0.440,2.396,1.801,0.827,3.132
0.766,0.440,2.126,1.374,1.018,3.111
0.557,0.449,2.368,1.850,0.813,3.203
0.501,0.440,2.365,1.760,0.941,3.277
0.530,0.462,2.545,1.921,0.935,3.249
0.548,0.453,2.233,1.792,0.884,3.362
0.494,0.464,2.425,1.802,0.907,3.286
0.513,0.451,2.633,1.894,0.960,3.312
0.683,0.443,2.300,1.796,0.935,3.213
0.537,0.463,2.395,1.894,0.926,3.212
0.528,0.461,2.402,1.785,0.895,3.119
0.557,0.476,2.421,1.667,0.931,3.221
0.542,0.463,2.362,1.647,0.846,3.349
0.489,0.463,2.475,1.814,0.963,3.224
0.495,0.460,2.512,1.817,0.985,3.277
0.582,0.450,2.277,1.572,0.939,3.220
0.637,0.454,2.463,1.455,0.985,3.342
0.631,0.435,2.265,1.642,0.987,3.262
0.570,0.468,2.373,1.827,0.903,3.305
0.528,0.445,2.454,1.823,0.929,3.220
0.541,0.456,2.351,1.698,0.886,3.245
0.535,0.459,2.371,1.791,0.908,3.286
0.479,0.445,2.361,1.723,0.879,3.133
0.524,0.463,2.441,1.793,0.952,3.243
0.582,0.465,2.296,1.689,0.886,3.348
0.503,0.417,2.145,1.885,0.906,3.073
0.488,0.447,2.357,1.736,0.934,3.163
0.551,0.456,2.413,1.767,0.877,3.261
0.569,0.448,2.315,1.628,0.886,3.265
0.528,0.453,2.284,1.800,0.908,3.164
0.569,0.456,2.357,1.828,0.924,3.098
0.564,0.458,2.412,1.748,0.904,3.261
0.526,0.443,2.527,1.710,0.979,3.176
0.568,0.438,2.293,1.705,0.988,3.043
0.631,0.452,2.164,1.557,0.917,3.388
0.496,0.452,2.320,1.907,0.935,3.209
0.514,0.453,2.408,1.875,0.931,3.219
0.565,0.447,2.337,1.719,0.875,3.146
0.686,0.446,2.428,1.628,0.971,3.226
0.534,0.447,2.360,1.728,0.929,3.139
0.521,0.451,2.400,1.796,0.989,3.174
0.708,0.443,2.216,1.476,0.907,3.192
0.501,0.463,2.386,1.897,0.863,3.217
0.553,0.469,2.473,1.660,0.874,3.147
0.535,0.456,2.424,1.738,0.924,3.187
0.565,0.427,2.330,1.682,0.957,3.091
0.569,0.462,2.390,1.663,0.935,3.225
0.626,0.464,2.298,1.819,0.945,3.198
0.581,0.470,2.394,1.631,0.941,3.256
0.605,0.441,2.318,1.665,0.938,3.239
0.560,0.437,2.349,1.767,0.934,3.240
0.543,0.461,2.258,1.671,0.829,3.239
0.625,0.464,2.252,1.674,0.940,3.212
0.711,0.473,2.256,1.567,0.847,3.304
0.496,0.469,2.469,1.789,0.918,3.248
0.548,0.452,2.262,1.900,0.873,3.163
0.594,0.436,2.376,1.684,0.940,3.141
0.597,0.456,2.233,1.577,0.885,3.133
0.559,0.450,2.225,1.653,0.951,3.291
0.496,0.452,2.383,1.770,0.951,3.224
0.564,0.455,2.367,1.697,0.923,3.153
0.551,0.439,2.258,1.643,0.960,3.158
0.608,0.468,2.301,1.642,0.888,3.368
0.480,0.459,2.375,1.779,0.911,3.255
0.464,0.452,2.199,1.906,0.905,3.178
0.550,0.467,2.294,1.610,0.865,3.203
0.593,0.440,2.348,1.636,0.910,3.225
0.748,0.472,2.227,1.440,0.873,3.306
0.573,0.456,2.345,1.621,0.935,2.980
0.504,0.431,2.403,1.751,0.918,3.001
0.499,0.437,2.329,1.680,0.884,3.214
0.681,0.433,2.263,1.567,0.975,3.118
0.685,0.443,2.301,1.576,0.924,3.172
0.481,0.466,2.534,1.809,0.948,3.264
0.484,0.448,2.450,1.833,0.962,3.092
0.516,0.460,2.543,1.867,0.912,3.295
0.522,0.441,2.390,1.708,0.909,3.076
0.553,0.449,2.420,1.840,0.997,3.102
0.535,0.440,2.441,1.751,0.922,3.164
0.629,0.478,2.300,1.676,0.871,3.239
0.546,0.463,2.293,1.849,0.881,3.195
0.529,0.443,2.442,1.686,0.853,3.192
0.526,0.459,2.235,1.914,0.864,3.120
0.497,0.439,2.456,1.851,1.033,3.051
0.534,0.476,2.458,1.763,0.900,3.319
0.477,0.474,2.471,1.828,0.904,3.294
0.513,0.454,2.401,1.818,0.874,3.221
0.631,0.468,2.261,1.715,0.882,3.342
0.541,0.468,2.415,1.775,0.943,3.391
0.491,0.469,2.398,1.929,0.845,3.161
0.551,0.477,2.345,1.802,0.868,3.363
0.640,0.449,2.307,1.520,0.906,3.240
0.462,0.429,2.378,1.839,0.903,3.006
0.480,0.487,2.416,1.831,0.875,3.218
0.511,0.469,2.434,1.792,0.931,3.313
0.788,0.437,2.237,1.494,0.941,3.110
0.582,0.439,2.339,1.739,0.896,3.176
0.695,0.488,2.264,1.791,0.848,3.317
0.843,0.458,2.141,1.394,0.914,3.211
0.812,0.452,2.041,1.486,0.921,3.103
0.725,0.407,2.314,1.623,0.755,3.123
0.601,0.443,2.435,1.955,0.887,3.145
0.666,0.461,2.235,1.338,0.977,3.268
0.541,0.460,2.366,1.877,0.864,3.219
0.613,0.461,2.389,1.614,0.960,3.323
0.567,0.477,2.207,1.733,0.956,3.326
0.618,0.442,2.388,1.722,0.890,3.300
0.520,0.478,2.395,1.754,0.928,3.177
0.533,0.457,2.279,1.788,0.851,3.159
0.737,0.452,2.161,1.554,0.944,3.200
0.586,0.435,2.281,1.717,0.856,3.035
0.822,0.424,2.203,1.333,0.925,3.108
0.689,0.462,2.138,1.536,0.993,3.277
0.624,0.464,2.184,1.619,0.932,3.213
0.544,0.435,2.236,1.781,0.854,3.051
0.568,0.448,2.269,1.832,0.906,3.119
0.594,0.446,2.305,1.773,0.888,3.124
0.544,0.474,2.400,1.890,0.892,3.095
0.682,0.445,2.211,1.559,0.894,3.189
0.618,0.450,2.379,1.919,0.945,3.140
0.477,0.448,2.405,1.921,0.904,3.135
0.488,0.473,2.309,1.821,0.859,3.311
0.489,0.454,2.296,1.843,0.915,3.144
0.546,0.448,2.303,1.912,0.962,3.083
0.732,0.461,2.092,1.611,0.971,3.314
0.552,0.447,2.321,1.765,0.929,2.977
0.578,0.445,2.149,1.678,0.928,3.103
0.515,0.446,2.242,1.819,0.890,3.043
0.671,0.463,2.483,1.714,0.880,3.386
0.547,0.445,2.465,1.878,0.873,3.294
0.590,0.417,2.224,1.657,0.956,2.953
0.559,0.451,2.481,1.869,0.997,2.990
0.638,0.478,2.232,1.667,0.913,3.104
0.561,0.432,2.337,1.749,0.883,3.005
0.556,0.450,2.390,1.859,0.977,3.254
0.529,0.435,2.284,1.851,0.921,3.226
0.524,0.436,2.269,1.821,0.954,2.982
0.505,0.466,2.335,1.916,0.882,3.069
0.507,0.443,2.229,1.765,0.861,3.265
0.527,0.470,2.424,1.700,0.973,3.201
0.515,0.456,2.513,1.815,0.971,3.248
0.750,0.456,2.163,1.360,0.950,3.173
0.515,0.481,2.354,1.852,0.946,3.361
0.642,0.472,2.295,1.816,0.865,3.281
0.558,0.482,2.232,1.777,0.853,3.400
0.590,0.453,2.286,1.682,1.004,3.218
0.521,0.462,2.298,1.876,0.858,3.042
0.527,0.454,2.238,1.724,0.838,3.196
0.594,0.449,2.297,1.729,0.903,3.247
0.502,0.472,2.387,1.818,0.879,3.266
0.473,0.453,2.312,1.846,0.895,3.175
0.518,0.453,2.298,1.760,0.801,3.186
0.517,0.477,2.245,1.790,0.956,3.310
0.622,0.456,2.172,1.653,0.941,3.135
0.656,0.467,2.286,1.843,0.960,3.288
0.820,0.482,2.202,1.416,0.997,3.222
0.618,0.463,2.279,1.859,0.878,3.269
0.545,0.467,2.413,1.853,0.825,3.218
0.568,0.472,2.329,1.843,0.897,3.361
0.698,0.453,2.169,1.543,0.985,3.149
0.562,0.472,2.269,1.818,0.913,3.343
0.656,0.470,2.241,1.522,0.877,3.201
0.562,0.441,2.342,1.619,0.906,3.194
0.588,0.452,2.280,1.645,0.865,3.212
0.533,0.471,2.420,1.849,0.889,3.245
0.596,0.465,2.274,1.700,0.875,3.140
0.576,0.461,2.284,1.831,0.937,3.123
0.567,0.486,2.394,1.680,0.895,3.233
0.638,0.443,2.282,1.684,0.891,3.141
0.613,0.462,2.291,1.802,0.974,3.117
0.517,0.457,2.535,1.863,0.914,3.139
0.765,0.472,2.211,1.466,0.952,3.187
0.545,0.473,2.406,1.840,0.949,3.261
0.572,0.457,2.311,1.641,0.906,3.057
0.687,0.463,2.214,1.454,0.944,3.201
0.502,0.474,2.297,1.722,0.898,3.219
0.545,0.451,2.348,1.877,0.870,3.177
0.504,0.467,2.450,1.911,0.924,3.380
0.587,0.456,2.268,1.726,0.829,3.095
0.551,0.459,2.349,1.668,0.941,3.140
0.615,0.451,2.364,1.655,0.946,3.181
0.524,0.467,2.399,1.788,0.908,3.270
0.456,0.435,2.324,1.859,0.846,3.142
0.483,0.461,2.301,1.936,0.854,3.205
0.518,0.455,2.320,1.834,0.888,3.201
0.697,0.448,2.195,1.572,1.036,3.258
0.550,0.452,2.278,1.685,0.917,3.203
0.612,0.455,2.377,1.601,0.928,3.115
0.503,0.467,2.391,1.791,0.955,3.375
0.521,0.455,2.316,1.881,0.892,3.119
0.505,0.465,2.488,1.935,0.855,3.106
0.653,0.488,2.242,1.604,0.953,3.218
0.687,0.467,2.208,1.372,1.005,3.097
0.498,0.438,2.366,1.814,0.946,3.151
0.549,0.454,2.268,1.761,0.881,3.216
0.508,0.440,2.226,1.883,0.941,3.091
0.593,0.464,2.317,1.743,0.865,3.324
0.506,0.455,2.371,1.946,0.855,3.298
0.628,0.466,2.388,1.810,0.898,3.265
0.638,0.462,2.136,1.567,0.937,3.143
0.535,0.479,2.352,1.749,0.897,3.187
0.694,0.462,2.246,1.649,0.907,3.216
0.529,0.459,2.381,1.707,0.932,3.120
0.502,0.462,2.457,1.829,0.940,3.251
0.516,0.431,2.319,1.768,0.825,3.145
0.682,0.441,2.271,1.654,0.997,3.174
0.533,0.476,2.376,1.723,0.861,3.096
0.596,0.466,2.283,1.953,0.990,3.151
0.469,0.454,2.303,1.753,0.866,3.066
0.476,0.468,2.406,1.902,0.898,3.164
0.912,0.452,2.179,1.329,0.976,3.262
0.552,0.454,2.273,1.810,0.892,3.275
0.550,0.462,2.462,1.755,0.895,3.192
0.717,0.459,2.120,1.417,0.986,3.132
0.581,0.435,2.181,1.779,0.799,3.044
0.597,0.456,2.277,1.778,0.882,3.285
0.532,0.473,2.375,1.832,0.875,3.244
0.482,0.469,2.313,1.832,0.923,3.306
0.579,0.439,2.266,1.793,0.964,3.138
0.534,0.458,2.220,1.802,0.841,3.164
0.479,0.459,2.429,1.854,0.872,3.362
0.544,0.449,2.403,1.673,0.921,3.092
0.726,0.462,2.146,1.705,0.864,3.285
0.504,0.467,2.455,1.843,0.910,3.060
0.702,0.464,2.192,1.534,0.949,3.151
0.482,0.457,2.421,1.795,0.864,3.092
0.539,0.435,2.297,1.776,0.853,3.088
0.553,0.470,2.355,1.756,0.922,3.129
0.608,0.467,2.274,1.751,0.928,3.276
0.584,0.477,2.432,1.748,0.972,3.202
0.473,0.456,2.550,1.845,0.940,3.217
0.489,0.454,2.362,1.845,0.866,3.249
0.498,0.451,2.338,1.805,0.949,3.321
0.644,0.474,2.358,1.622,0.903,3.259
0.545,0.460,2.450,1.723,0.910,3.219
0.541,0.455,2.469,1.833,0.892,3.243
0.553,0.440,2.191,1.801,0.938,3.115
0.494,0.468,2.395,1.819,0.847,3.194
0.571,0.462,2.340,1.691,0.908,3.225
0.586,0.456,2.325,1.713,0.844,3.084
0.554,0.442,2.300,1.664,0.904,3.163
0.551,0.464,2.331,1.726,0.852,3.200
0.569,0.479,2.336,1.647,0.896,3.286
0.694,0.466,2.121,1.324,0.952,3.021
0.560,0.472,2.350,1.743,0.877,3.228
0.555,0.460,2.324,1.671,0.969,3.200
0.545,0.459,2.292,1.791,0.934,3.402
0.501,0.467,2.480,1.896,0.977,3.265
0.662,0.460,2.267,1.612,0.977,3.318
0.572,0.456,2.365,1.690,0.905,3.250
0.688,0.437,2.247,1.569,0.979,3.344
0.577,0.446,2.363,1.770,0.990,3.192
0.524,0.472,2.537,1.930,0.935,3.282
0.555,0.458,2.334,1.766,0.859,3.262
0.667,0.457,2.366,1.594,0.956,3.297
0.544,0.469,2.441,1.757,0.980,3.308
0.518,0.461,2.368,1.624,0.907,3.132
0.499,0.468,2.345,1.737,0.960,3.209
0.551,0.469,2.380,1.841,0.927,2.988
0.641,0.453,2.434,1.645,0.985,3.245
0.549,0.476,2.238,1.892,0.814,3.203
0.531,0.478,2.492,1.900,0.938,3.229
0.529,0.476,2.364,1.797,0.890,3.189
0.566,0.452,2.389,1.810,0.896,3.188
0.613,0.483,2.448,1.746,0.811,3.247
0.804,0.461,2.328,1.405,0.892,3.327
0.762,0.482,2.149,1.533,0.932,3.265
0.540,0.453,2.343,1.721,0.919,3.081
0.493,0.476,2.454,1.646,0.903,3.204
0.594,0.464,2.254,1.648,0.853,3.232
0.504,0.458,2.397,1.830,0.857,3.133
0.788,0.463,2.120,1.351,0.896,3.207
0.530,0.475,2.370,1.890,0.904,3.364
0.574,0.465,2.277,1.788,0.974,3.195
0.620,0.456,2.389,1.793,0.873,3.059
0.494,0.450,2.363,1.851,0.942,3.219
0.493,0.457,2.244,1.892,0.934,3.232
0.763,0.445,2.105,1.412,1.036,3.325
0.521,0.472,2.292,1.792,0.834,3.212
0.482,0.471,2.357,1.898,0.915,3.164
0.487,0.466,2.339,1.848,0.907,3.220
0.533,0.455,2.276,1.706,0.910,3.118
0.563,0.490,2.337,1.666,0.938,3.400
0.557,0.479,2.419,1.764,0.904,3.217
0.510,0.461,2.279,1.847,0.822,3.155
0.525,0.482,2.345,1.748,0.908,3.253
0.703,0.467,2.211,1.460,0.971,3.182
0.495,0.492,2.387,1.823,0.905,3.399
0.511,0.452,2.264,1.777,0.832,3.206
0.490,0.472,2.426,1.828,0.853,3.295
0.528,0.461,2.355,1.751,0.926,3.286
0.440,0.471,2.494,1.935,0.949,3.308
0.516,0.448,2.272,1.855,0.930,3.213
0.704,0.472,2.168,1.559,0.924,3.335
0.615,0.463,2.246,1.717,0.874,3.236
0.564,0.473,2.399,1.789,0.896,3.178
0.522,0.479,2.355,1.737,0.855,3.260
0.569,0.458,2.455,1.733,1.010,3.028
0.555,0.458,2.348,1.723,0.929,3.214
0.599,0.465,2.326,1.659,0.886,3.213
0.568,0.444,2.215,1.787,0.906,3.056
0.592,0.451,2.253,1.810,0.869,3.129
0.554,0.473,2.586,1.837,0.863,3.300
0.759,0.442,2.266,1.539,0.935,3.199
0.578,0.447,2.328,1.754,0.946,3.285
0.680,0.451,2.392,1.560,0.945,3.025
0.511,0.456,2.389,1.773,0.895,3.127
0.526,0.457,2.305,1.846,0.964,3.250
0.675,0.430,2.245,1.744,0.975,2.971
0.631,0.452,2.350,1.702,0.950,3.217
0.555,0.453,2.181,1.642,0.908,3.119
0.606,0.456,2.309,1.717,0.977,3.169
0.538,0.447,2.257,1.775,0.877,3.187
0.501,0.470,2.356,1.787,0.892,3.317
0.463,0.454,2.504,1.920,0.900,3.196
0.753,0.462,2.228,1.397,0.858,3.208
0.509,0.459,2.364,1.695,0.875,3.174
0.510,0.472,2.403,1.736,0.945,3.162
0.580,0.461,2.251,1.599,0.907,3.240
0.553,0.440,2.268,1.627,0.910,3.209
0.614,0.443,2.260,1.578,0.921,3.098
0.627,0.467,2.325,1.680,0.847,3.329
0.514,0.454,2.496,1.824,0.969,3.258
0.656,0.471,2.318,1.600,0.913,3.197
0.552,0.443,2.322,1.834,0.952,3.145
0.707,0.457,2.210,1.566,0.986,3.088
0.646,0.450,2.347,1.727,0.919,3.064
0.536,0.475,2.405,1.730,0.938,3.268
0.614,0.453,2.312,1.644,0.852,3.191
0.659,0.464,2.161,1.628,0.907,3.233
0.591,0.460,2.499,1.709,0.811,3.212
0.514,0.434,2.395,1.729,0.952,3.112
0.624,0.458,2.240,1.592,0.898,3.095
0.580,0.464,2.377,1.810,0.879,3.135
0.524,0.471,2.295,1.847,0.840,3.214
0.499,0.457,2.313,1.810,0.865,3.071
0.525,0.446,2.263,1.702,0.853,3.020
0.556,0.447,2.267,1.663,0.897,3.227
0.528,0.466,2.320,1.815,0.910,3.280
0.775,0.451,2.311,1.459,0.868,3.204
0.529,0.458,2.274,1.821,0.932,3.231
0.535,0.469,2.386,1.768,0.911,3.167
0.473,0.476,2.406,2.045,0.884,3.269
0.460,0.463,2.443,1.884,0.907,3.179
0.515,0.448,2.310,1.805,0.898,3.136
0.507,0.461,2.405,1.828,0.886,3.089
0.551,0.468,2.396,1.871,0.860,3.324
0.529,0.464,2.279,1.722,0.892,3.293
0.569,0.454,2.437,1.614,0.911,3.219
0.523,0.457,2.290,1.676,0.875,3.167
0.490,0.451,2.361,1.808,0.877,3.242
0.573,0.444,2.339,1.803,0.934,3.112
0.588,0.436,2.252,1.739,0.979,3.081
0.527,0.443,2.384,1.757,0.987,2.968
0.494,0.451,2.235,1.994,0.901,3.183
0.526,0.477,2.318,1.722,0.824,3.229
0.615,0.446,2.291,1.595,0.826,3.184
0.639,0.465,2.212,1.641,0.870,3.137
0.583,0.445,2.325,1.688,0.883,3.231
0.603,0.470,2.232,1.641,0.969,3.142
0.511,0.464,2.296,1.778,0.845,3.276
0.482,0.458,2.315,1.801,0.827,3.102
0.535,0.461,2.443,1.826,0.866,3.238
0.619,0.445,2.238,1.791,0.954,3.123
0.473,0.448,2.446,1.845,0.935,3.174
0.591,0.453,2.194,1.552,0.884,3.124
0.620,0.463,2.403,1.783,0.869,3.174
0.500,0.477,2.447,1.794,0.923,3.325
0.598,0.462,2.327,1.608,0.893,3.276
0.480,0.473,2.373,1.858,0.906,3.240
0.492,0.461,2.368,1.812,0.841,3.177
0.539,0.464,2.292,1.956,0.830,3.347
0.624,0.471,2.352,1.779,0.887,3.244
0.733,0.442,2.272,1.551,0.995,3.224
0.502,0.460,2.360,1.848,0.950,3.180
0.485,0.450,2.296,1.831,0.901,3.193
0.527,0.477,2.289,1.744,0.881,3.347
0.543,0.446,2.375,1.705,0.929,3.049
0.805,0.449,2.175,1.318,0.951,3.040
0.629,0.440,2.269,1.662,0.902,3.136
0.531,0.459,2.426,1.751,0.950,3.114
0.695,0.465,2.229,1.637,0.931,3.301
0.510,0.472,2.357,1.773,0.855,3.101
0.564,0.459,2.194,1.838,0.839,3.115
0.523,0.453,2.279,1.616,0.891,3.122
0.504,0.476,2.383,1.878,0.865,3.187
0.493,0.445,2.443,1.767,0.883,2.985
0.483,0.476,2.461,1.881,0.946,3.213
0.675,0.450,2.249,1.480,0.904,3.186
0.554,0.464,2.316,1.758,0.912,3.160
0.576,0.479,2.289,1.772,0.835,3.230
0.610,0.469,2.262,1.716,0.968,3.274
0.506,0.471,2.353,1.848,0.909,3.286
0.551,0.459,2.354,1.812,0.896,3.173
0.502,0.460,2.320,1.835,0.882,3.113
0.492,0.460,2.286,1.885,0.958,3.094
0.628,0.466,2.354,1.719,0.901,3.219
0.565,0.471,2.314,1.647,0.906,3.173
0.716,0.479,2.152,1.533,0.868,3.413
0.544,0.445,2.461,1.687,0.883,3.005
0.504,0.459,2.355,1.901,0.871,3.145
0.547,0.463,2.362,1.923,0.949,3.157
0.553,0.465,2.334,1.698,0.887,3.208
0.579,0.444,2.223,1.784,0.829,3.024
0.494,0.479,2.359,1.755,0.885,3.126
0.512,0.440,2.312,1.797,0.902,2.983
0.492,0.455,2.453,1.837,0.930,3.175
0.688,0.469,2.218,1.529,0.978,3.088
0.549,0.449,2.277,1.937,0.828,3.164
0.534,0.448,2.395,1.657,0.900,3.170
0.714,0.467,2.270,1.569,0.861,3.141
0.484,0.464,2.374,1.814,0.913,3.110
0.865,0.471,2.177,1.313,0.860,3.307
0.613,0.442,2.267,1.749,0.879,3.076
0.602,0.467,2.439,1.818,0.944,3.261
0.509,0.468,2.370,1.857,0.896,3.150
0.489,0.478,2.408,1.923,0.838,3.212
0.558,0.483,2.325,1.695,0.866,3.165
0.600,0.484,2.283,1.699,0.861,3.269
