SIZE_0,SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_4,SHAPE_7,SHAPE_9
200.2,0.492,0.461,2.197,1.309,1.555,3.335
219.6,0.609,0.487,1.962,1.268,1.489,3.246
196.3,0.563,0.506,2.151,1.307,1.592,3.335
223.2,0.609,0.463,1.963,1.315,1.384,3.256
203.0,0.558,0.464,2.123,1.249,1.604,3.224
198.4,0.500,0.453,2.098,1.380,1.671,3.236
213.0,0.603,0.492,1.954,1.283,1.370,3.368
203.7,0.600,0.460,2.022,1.349,1.469,3.222
201.3,0.532,0.467,2.086,1.339,1.520,3.490
201.6,0.607,0.459,2.017,1.328,1.413,3.292
204.9,0.597,0.480,2.056,1.299,1.370,3.385
183.9,0.499,0.470,2.337,1.456,1.496,3.360
210.2,0.570,0.461,2.176,1.214,1.458,3.267
216.5,0.522,0.472,2.151,1.448,1.503,3.307
186.6,0.545,0.479,2.076,1.445,1.418,3.369
189.5,0.601,0.479,2.012,1.228,1.425,3.285
199.0,0.547,0.447,2.137,1.354,1.506,3.243
201.5,0.643,0.484,2.052,1.346,1.476,3.288
211.3,0.612,0.466,1.924,1.256,1.336,3.433
199.5,0.572,0.484,1.998,1.275,1.525,3.264
201.5,0.559,0.470,1.950,1.324,1.552,3.303
233.2,0.718,0.454,1.782,1.131,1.296,3.008
198.5,0.559,0.478,2.195,1.411,1.542,3.502
203.3,0.557,0.472,2.038,1.313,1.531,3.399
217.7,0.600,0.442,2.059,1.333,1.408,3.200
209.0,0.627,0.470,2.031,1.287,1.474,3.297
212.2,0.496,0.440,2.030,1.374,1.558,3.168
207.9,0.574,0.462,2.078,1.348,1.418,3.351
207.1,0.517,0.458,2.168,1.404,1.640,3.306
187.5,0.505,0.468,2.164,1.417,1.558,3.302
196.9,0.591,0.484,2.051,1.306,1.390,3.356
200.8,0.546,0.454,2.240,1.392,1.446,3.303
211.0,0.535,0.457,2.069,1.346,1.548,3.259
214.3,0.584,0.471,2.052,1.305,1.419,3.328
222.9,0.595,0.492,2.190,1.371,1.376,3.416
194.3,0.539,0.479,2.187,1.405,1.604,3.341
216.1,0.658,0.470,2.110,1.206,1.416,3.326
203.5,0.528,0.456,2.242,1.407,1.501,3.434
196.3,0.508,0.480,2.318,1.438,1.518,3.493
206.7,0.486,0.464,2.290,1.457,1.600,3.285
206.1,0.537,0.466,2.211,1.454,1.473,3.262
196.9,0.520,0.446,2.186,1.532,1.605,3.221
184.5,0.523,0.482,2.196,1.369,1.625,3.468
211.7,0.635,0.468,1.999,1.218,1.359,3.302
202.8,0.535,0.462,2.172,1.267,1.448,3.218
197.2,0.514,0.473,2.162,1.355,1.632,3.385
204.2,0.565,0.459,2.098,1.236,1.528,3.397
211.0,0.529,0.466,2.096,1.269,1.430,3.315
209.4,0.552,0.461,2.121,1.267,1.480,3.392
206.2,0.571,0.478,2.011,1.319,1.455,3.412
224.6,0.638,0.471,1.959,1.130,1.413,3.320
200.4,0.547,0.469,2.076,1.413,1.450,3.369
190.1,0.624,0.484,1.961,1.292,1.375,3.361
194.3,0.523,0.451,2.226,1.276,1.557,3.259
216.0,0.603,0.456,1.947,1.180,1.599,3.271
198.9,0.504,0.468,2.251,1.447,1.498,3.460
204.5,0.554,0.482,2.070,1.312,1.600,3.206
217.3,0.501,0.453,2.196,1.349,1.524,3.348
218.7,0.611,0.468,1.991,1.199,1.324,3.257
216.1,0.605,0.473,1.973,1.242,1.457,3.242
208.4,0.560,0.459,2.177,1.347,1.566,3.247
209.3,0.590,0.465,2.037,1.264,1.343,3.215
192.2,0.503,0.467,2.204,1.363,1.648,3.285
198.7,0.540,0.464,2.176,1.314,1.581,3.295
195.1,0.534,0.461,2.180,1.304,1.564,3.311
202.8,0.548,0.467,2.196,1.360,1.585,3.194
206.9,0.573,0.463,2.055,1.249,1.512,3.348
193.0,0.517,0.466,2.413,1.422,1.477,3.497
183.6,0.586,0.474,2.124,1.261,1.557,3.453
212.9,0.526,0.466,2.202,1.338,1.454,3.392
198.6,0.617,0.480,2.033,1.251,1.466,3.432
204.2,0.512,0.469,2.413,1.424,1.410,3.384
207.4,0.638,0.474,2.065,1.255,1.428,3.207
220.9,0.581,0.451,2.032,1.320,1.466,3.356
215.2,0.563,0.473,2.186,1.299,1.453,3.413
193.0,0.585,0.469,2.120,1.340,1.500,3.222
215.4,0.561,0.459,2.149,1.373,1.495,3.244
205.7,0.496,0.464,2.345,1.473,1.422,3.260
212.7,0.465,0.458,2.307,1.207,1.568,3.075
193.9,0.566,0.476,2.089,1.379,1.428,3.304
211.8,0.552,0.461,2.147,1.212,1.492,3.152
189.8,0.573,0.475,2.139,1.365,1.533,3.251
219.6,0.718,0.489,1.887,1.275,1.297,3.345
206.1,0.537,0.461,2.058,1.321,1.585,3.279
211.2,0.569,0.473,2.080,1.235,1.446,3.328
199.3,0.519,0.480,2.349,1.228,1.597,3.491
210.6,0.547,0.466,2.168,1.375,1.476,3.287
204.6,0.579,0.475,2.189,1.360,1.553,3.343
194.9,0.563,0.502,2.168,1.391,1.561,3.405
218.9,0.518,0.465,2.117,1.267,1.477,3.246
196.5,0.564,0.473,2.240,1.380,1.458,3.364
203.1,0.557,0.462,2.284,1.213,1.444,3.240
198.9,0.589,0.468,2.107,1.333,1.432,3.386
210.4,0.566,0.451,1.983,1.335,1.373,3.371
222.3,0.544,0.462,2.203,1.357,1.507,3.267
203.3,0.538,0.459,2.180,1.332,1.586,3.110
207.0,0.517,0.463,2.087,1.256,1.573,3.314
202.4,0.557,0.469,2.115,1.404,1.523,3.303
207.9,0.551,0.482,2.039,1.183,1.601,3.388
207.5,0.517,0.468,2.159,1.405,1.509,3.338
213.8,0.576,0.462,1.962,1.272,1.362,3.298
202.4,0.536,0.458,2.222,1.451,1.515,3.297
211.7,0.642,0.457,1.990,1.231,1.324,3.134
205.1,0.674,0.466,1.989,1.260,1.396,3.195
193.9,0.515,0.471,2.216,1.461,1.485,3.273
211.8,0.508,0.450,2.146,1.399,1.532,3.295
210.7,0.589,0.462,2.107,1.257,1.375,3.213
195.2,0.516,0.469,2.259,1.378,1.614,3.376
196.4,0.525,0.475,2.132,1.385,1.572,3.209
201.5,0.519,0.481,2.402,1.326,1.573,3.428
211.4,0.529,0.456,2.138,1.246,1.527,3.295
208.9,0.613,0.478,2.155,1.274,1.428,3.401
198.1,0.469,0.463,2.237,1.399,1.666,3.283
207.2,0.593,0.483,2.115,1.306,1.463,3.257
204.3,0.508,0.456,2.267,1.415,1.542,3.291
212.9,0.539,0.463,2.158,1.343,1.537,3.242
212.5,0.500,0.461,2.224,1.242,1.488,3.240
215.2,0.632,0.474,1.895,1.373,1.404,3.227
216.5,0.633,0.480,2.013,1.300,1.336,3.502
212.4,0.535,0.460,2.103,1.361,1.467,3.266
209.4,0.583,0.456,2.164,1.295,1.505,3.212
199.1,0.524,0.449,2.074,1.366,1.716,3.177
197.7,0.501,0.449,2.216,1.281,1.675,3.286
219.8,0.649,0.470,2.035,1.248,1.277,3.196
214.2,0.496,0.446,2.174,1.328,1.598,3.223
195.3,0.481,0.471,2.255,1.487,1.582,3.253
194.9,0.530,0.501,2.329,1.353,1.489,3.519
202.2,0.534,0.452,2.104,1.317,1.568,3.205
210.4,0.601,0.471,2.034,1.262,1.366,3.325
220.0,0.647,0.483,2.071,1.189,1.385,3.392
216.1,0.643,0.463,1.888,1.226,1.319,3.210
206.1,0.507,0.473,2.263,1.207,1.515,3.239
213.7,0.637,0.450,1.977,1.328,1.317,3.218
191.1,0.562,0.464,2.186,1.346,1.519,3.241
209.7,0.563,0.468,1.973,1.348,1.466,3.210
211.0,0.531,0.452,2.097,1.315,1.449,3.406
203.6,0.609,0.454,2.065,1.193,1.391,3.143
210.8,0.563,0.464,2.091,1.343,1.448,3.268
200.5,0.547,0.464,2.104,1.342,1.454,3.217
209.1,0.560,0.463,2.168,1.281,1.524,3.316
218.8,0.584,0.457,1.971,1.274,1.365,3.298
201.0,0.560,0.488,2.159,1.351,1.494,3.352
221.1,0.566,0.456,2.146,1.377,1.301,3.202
201.7,0.513,0.459,2.141,1.328,1.587,3.213
211.6,0.578,0.447,1.904,1.296,1.561,3.164
196.2,0.530,0.484,2.236,1.457,1.638,3.246
200.7,0.570,0.466,2.068,1.321,1.504,3.177
215.6,0.666,0.461,1.850,1.224,1.304,3.289
189.5,0.615,0.486,2.038,1.291,1.465,3.400
193.2,0.498,0.466,2.281,1.428,1.613,3.316
191.7,0.580,0.481,2.188,1.277,1.504,3.317
208.3,0.549,0.458,2.102,1.284,1.458,3.271
205.0,0.519,0.452,2.223,1.325,1.455,3.279
208.9,0.556,0.466,2.058,1.315,1.603,3.277
200.2,0.569,0.467,2.049,1.278,1.538,3.348
209.6,0.547,0.471,2.104,1.234,1.468,3.294
205.3,0.527,0.466,2.159,1.240,1.592,3.245
209.1,0.628,0.472,2.036,1.284,1.445,3.341
211.6,0.596,0.463,2.073,1.198,1.489,3.275
211.7,0.612,0.474,2.062,1.298,1.309,3.397
199.9,0.531,0.470,2.104,1.245,1.602,3.106
199.1,0.426,0.462,2.289,1.338,1.672,3.223
205.0,0.657,0.489,2.043,1.235,1.363,3.312
204.2,0.592,0.472,1.953,1.291,1.560,3.283
207.3,0.601,0.473,2.057,1.329,1.342,3.181
196.7,0.438,0.477,2.251,1.342,1.710,3.349
209.1,0.690,0.467,1.987,1.161,1.260,3.253
199.0,0.495,0.459,2.250,1.313,1.599,3.214
212.2,0.615,0.470,1.961,1.315,1.473,3.329
204.5,0.574,0.471,1.975,1.300,1.471,3.350
200.1,0.561,0.470,2.045,1.388,1.513,3.259
223.1,0.485,0.451,2.262,1.223,1.584,3.170
205.6,0.589,0.498,2.122,1.270,1.469,3.386
205.4,0.515,0.474,2.213,1.281,1.440,3.095
199.4,0.576,0.459,2.072,1.338,1.425,3.151
201.9,0.502,0.476,2.265,1.308,1.600,3.449
251.7,0.911,0.508,1.898,0.984,1.294,3.404
213.9,0.580,0.487,2.078,1.203,1.415,3.190
210.1,0.581,0.476,2.024,1.232,1.459,3.483
223.5,0.623,0.469,1.950,1.106,1.469,3.207
200.9,0.557,0.467,2.140,1.365,1.435,3.327
215.2,0.535,0.459,2.140,1.356,1.426,3.434
216.6,0.669,0.493,1.991,1.228,1.339,3.460
204.0,0.484,0.470,2.299,1.490,1.505,3.279
190.8,0.563,0.455,2.115,1.292,1.674,3.135
214.5,0.507,0.468,2.149,1.385,1.555,3.301
202.5,0.562,0.479,2.239,1.267,1.534,3.371
211.4,0.576,0.452,1.924,1.325,1.490,3.316
198.0,0.530,0.480,2.026,1.238,1.683,3.295
214.1,0.614,0.468,1.939,1.279,1.276,3.188
193.5,0.641,0.464,1.974,1.240,1.562,3.200
209.7,0.517,0.469,2.210,1.328,1.573,3.257
204.3,0.564,0.469,2.034,1.349,1.650,3.238
193.7,0.617,0.459,2.132,1.302,1.528,3.261
198.7,0.619,0.470,2.047,1.312,1.471,3.279
220.5,0.621,0.475,2.047,1.315,1.392,3.252
191.6,0.526,0.466,2.295,1.436,1.450,3.292
206.6,0.514,0.475,2.367,1.303,1.512,3.314
208.2,0.572,0.446,2.103,1.259,1.480,3.371
195.5,0.519,0.469,2.272,1.339,1.544,3.408
203.4,0.515,0.490,2.053,1.345,1.655,3.297
203.6,0.544,0.459,2.108,1.286,1.604,3.280
221.2,0.482,0.443,2.023,1.232,1.573,3.157
250.6,0.959,0.483,1.988,0.913,1.266,3.064
194.4,0.646,0.473,2.007,1.266,1.409,3.209
199.5,0.508,0.472,2.116,1.276,1.572,3.316
200.8,0.546,0.478,2.052,1.260,1.542,3.205
211.2,0.548,0.468,2.188,1.231,1.508,3.228
203.0,0.575,0.460,2.163,1.272,1.515,3.000
207.4,0.597,0.465,2.048,1.298,1.515,3.230
221.3,0.626,0.461,2.037,1.199,1.418,3.232
219.8,0.572,0.477,1.888,1.358,1.527,3.274
217.9,0.488,0.442,2.054,1.310,1.587,3.268
207.2,0.546,0.471,2.082,1.280,1.430,3.282
204.4,0.630,0.446,1.807,1.279,1.383,3.037
203.0,0.609,0.454,1.919,1.178,1.463,3.172
210.5,0.560,0.469,2.061,1.278,1.496,3.192
206.7,0.495,0.454,2.140,1.323,1.475,3.407
216.4,0.653,0.458,2.111,1.143,1.306,3.218
206.3,0.534,0.467,2.194,1.264,1.458,3.280
219.9,0.585,0.449,2.103,1.250,1.428,3.114
203.7,0.510,0.477,2.221,1.363,1.537,3.392
222.2,0.520,0.450,2.125,1.225,1.493,3.224
214.6,0.626,0.470,2.103,1.389,1.465,3.280
220.0,0.592,0.465,2.090,1.115,1.415,3.238
200.0,0.537,0.473,2.207,1.238,1.591,3.238
202.1,0.558,0.480,2.121,1.355,1.463,3.322
211.1,0.617,0.485,1.908,1.229,1.468,3.210
232.7,0.738,0.472,1.973,1.094,1.289,3.189
206.6,0.542,0.480,2.066,1.282,1.651,3.269
199.9,0.624,0.488,2.091,1.225,1.445,3.300
210.6,0.539,0.440,2.175,1.420,1.469,3.208
222.7,0.585,0.465,2.051,1.275,1.327,3.396
202.9,0.501,0.467,2.133,1.308,1.546,3.198
195.7,0.554,0.455,2.073,1.322,1.488,3.290
201.7,0.585,0.459,1.937,1.197,1.403,3.181
186.5,0.541,0.466,2.202,1.467,1.545,3.225
189.1,0.555,0.499,2.142,1.214,1.568,3.371
212.0,0.595,0.487,2.213,1.243,1.447,3.344
211.7,0.566,0.479,2.077,1.287,1.429,3.189
200.7,0.473,0.460,2.303,1.484,1.672,3.195
214.0,0.653,0.494,2.073,1.359,1.271,3.392
180.6,0.480,0.509,2.276,1.433,1.712,3.462
214.9,0.674,0.478,2.018,1.101,1.388,3.022
200.3,0.485,0.488,2.334,1.259,1.621,3.500
180.6,0.660,0.490,1.968,1.322,1.442,3.267
218.2,0.666,0.470,1.954,1.206,1.328,3.301
199.5,0.537,0.459,2.126,1.230,1.530,3.173
233.3,0.700,0.473,1.918,1.202,1.297,3.204
202.7,0.540,0.468,2.120,1.330,1.661,3.247
215.9,0.555,0.469,2.183,1.311,1.486,3.383
203.2,0.525,0.454,2.154,1.317,1.617,3.102
193.4,0.529,0.470,2.038,1.300,1.547,3.219
219.3,0.489,0.446,2.258,1.352,1.433,3.304
200.7,0.564,0.476,2.067,1.269,1.319,3.275
198.3,0.489,0.459,2.236,1.309,1.622,3.232
224.5,0.711,0.462,1.962,1.292,1.297,3.127
206.8,0.597,0.477,2.086,1.288,1.422,3.277
197.8,0.567,0.469,2.121,1.338,1.546,3.299
205.6,0.583,0.470,2.122,1.235,1.407,3.250
208.6,0.569,0.469,2.108,1.211,1.538,3.249
219.4,0.573,0.448,2.162,1.173,1.379,3.242
205.1,0.488,0.480,2.263,1.273,1.517,3.231
211.4,0.530,0.451,2.228,1.230,1.519,3.181
213.7,0.547,0.477,2.067,1.389,1.546,3.232
223.5,0.697,0.491,1.928,1.264,1.388,3.321
233.1,0.754,0.479,1.899,1.149,1.267,3.321
223.3,0.556,0.463,2.163,1.404,1.467,3.332
216.9,0.568,0.470,2.065,1.222,1.573,3.421
203.2,0.520,0.467,2.219,1.313,1.656,3.241
200.9,0.531,0.467,2.124,1.368,1.573,3.217
192.1,0.504,0.486,2.168,1.236,1.657,3.468
190.4,0.632,0.450,2.060,1.268,1.478,3.139
218.2,0.615,0.462,2.050,1.300,1.326,3.146
199.9,0.562,0.469,2.115,1.424,1.476,3.241
196.4,0.509,0.477,2.237,1.282,1.532,3.371
207.1,0.502,0.457,2.258,1.300,1.733,3.213
189.3,0.600,0.481,2.074,1.272,1.466,3.324
206.8,0.662,0.471,2.002,1.149,1.322,3.250
209.3,0.479,0.463,2.240,1.344,1.645,3.205
208.9,0.536,0.460,2.164,1.281,1.514,3.214
212.7,0.705,0.475,2.083,1.207,1.362,3.385
193.1,0.534,0.479,2.294,1.312,1.519,3.264
204.3,0.600,0.488,2.120,1.273,1.450,3.307
190.4,0.532,0.460,2.076,1.278,1.520,3.222
201.9,0.477,0.459,2.307,1.415,1.593,3.171
201.5,0.527,0.481,2.186,1.208,1.456,3.233
199.1,0.549,0.477,2.012,1.266,1.426,3.207
203.0,0.497,0.479,2.223,1.282,1.554,3.443
213.7,0.581,0.462,2.084,1.249,1.448,3.130
211.6,0.550,0.471,2.206,1.338,1.367,3.231
198.6,0.492,0.451,2.299,1.279,1.633,3.232
223.7,0.642,0.482,1.947,1.087,1.218,3.277
194.0,0.562,0.456,2.118,1.305,1.592,3.181
213.8,0.552,0.457,2.072,1.242,1.432,3.391
217.4,0.556,0.461,2.005,1.250,1.575,3.258
209.4,0.501,0.469,2.158,1.348,1.608,3.176
211.9,0.594,0.462,2.048,1.300,1.423,3.163
227.6,0.553,0.461,2.035,1.231,1.388,3.209
207.1,0.569,0.467,2.075,1.245,1.403,3.303
206.3,0.593,0.477,2.067,1.152,1.412,3.265
203.2,0.529,0.454,2.044,1.294,1.583,3.233
202.8,0.484,0.437,2.349,1.315,1.494,3.131
195.6,0.547,0.471,2.254,1.316,1.449,3.303
219.0,0.520,0.458,2.255,1.262,1.399,3.336
207.1,0.547,0.468,2.226,1.287,1.450,3.204
195.6,0.526,0.462,2.148,1.169,1.602,3.084
194.5,0.496,0.470,2.449,1.368,1.610,3.352
189.3,0.478,0.471,2.247,1.362,1.613,3.321
200.5,0.559,0.455,2.136,1.283,1.626,3.222
211.2,0.533,0.453,2.257,1.316,1.500,3.174
209.2,0.555,0.479,2.108,1.364,1.474,3.177
192.0,0.485,0.472,2.260,1.400,1.585,3.231
201.6,0.585,0.459,2.089,1.430,1.433,3.097
204.6,0.502,0.452,2.243,1.355,1.520,3.314
194.3,0.517,0.470,2.323,1.273,1.615,3.357
233.5,0.716,0.468,1.977,1.181,1.224,3.272
208.2,0.538,0.463,2.255,1.335,1.497,3.292
198.7,0.469,0.466,2.305,1.284,1.544,3.289
202.7,0.625,0.492,2.031,1.213,1.340,3.335
210.9,0.549,0.462,2.010,1.212,1.462,3.215
228.2,0.561,0.469,1.976,1.261,1.496,3.246
182.7,0.546,0.456,2.218,1.364,1.505,3.017
223.1,0.492,0.456,2.113,1.272,1.509,3.126
222.0,0.546,0.458,2.093,1.279,1.515,3.188
211.0,0.593,0.473,2.151,1.311,1.374,3.370
202.6,0.559,0.466,2.159,1.298,1.385,3.286
196.2,0.435,0.452,2.445,1.422,1.652,3.312
195.5,0.536,0.475,2.250,1.255,1.598,3.282
188.2,0.505,0.469,2.244,1.365,1.630,3.230
216.0,0.607,0.479,2.032,1.216,1.444,3.211
222.2,0.549,0.457,1.850,1.327,1.457,3.009
204.4,0.552,0.486,2.014,1.185,1.613,3.454
204.5,0.562,0.459,2.312,1.239,1.458,3.175
217.0,0.563,0.466,2.041,1.232,1.446,3.258
199.3,0.515,0.459,2.045,1.354,1.538,3.237
223.6,0.628,0.475,2.001,1.340,1.256,3.207
187.5,0.497,0.474,2.300,1.432,1.673,3.380
228.9,0.572,0.451,1.999,1.174,1.369,3.378
192.9,0.535,0.447,2.213,1.429,1.607,3.284
197.1,0.513,0.454,2.311,1.352,1.558,3.246
207.6,0.500,0.448,2.247,1.437,1.524,3.229
210.9,0.543,0.468,2.032,1.254,1.509,3.399
212.3,0.608,0.467,1.923,1.250,1.340,3.287
208.5,0.541,0.454,2.129,1.201,1.435,3.282
209.7,0.525,0.451,2.164,1.394,1.494,3.337
213.2,0.554,0.448,2.149,1.267,1.443,3.307
207.8,0.512,0.453,2.143,1.316,1.544,3.220
203.7,0.470,0.414,2.227,1.423,1.580,3.034
195.9,0.563,0.473,2.138,1.376,1.525,3.379
226.5,0.572,0.437,2.044,1.282,1.320,3.117
204.6,0.542,0.459,2.162,1.362,1.410,3.329
201.4,0.538,0.441,2.032,1.273,1.565,3.195
203.2,0.577,0.434,2.097,1.346,1.542,3.220
199.7,0.549,0.453,2.212,1.398,1.486,3.187
200.2,0.573,0.458,2.071,1.359,1.485,3.335
192.3,0.487,0.461,2.280,1.417,1.533,3.300
219.9,0.542,0.455,1.977,1.329,1.537,3.324
196.4,0.530,0.467,2.222,1.465,1.599,3.334
205.9,0.678,0.485,1.937,1.180,1.263,3.292
203.4,0.603,0.473,2.038,1.365,1.481,3.248
215.2,0.494,0.477,2.224,1.246,1.621,3.269
213.8,0.578,0.446,2.133,1.241,1.475,3.203
195.4,0.559,0.470,2.026,1.237,1.457,3.399
200.1,0.611,0.467,1.931,1.278,1.383,3.226
208.4,0.588,0.462,2.026,1.373,1.426,3.144
220.2,0.598,0.456,2.018,1.346,1.295,3.218
213.5,0.505,0.458,2.106,1.319,1.456,3.280
208.7,0.522,0.450,2.108,1.388,1.461,3.200
215.2,0.559,0.462,1.932,1.237,1.365,3.230
203.6,0.695,0.468,2.094,1.189,1.364,3.342
212.0,0.502,0.472,2.254,1.329,1.551,3.284
206.6,0.555,0.484,2.181,1.498,1.476,3.352
202.9,0.553,0.475,2.169,1.306,1.501,3.245
199.9,0.541,0.460,2.042,1.303,1.503,3.218
227.6,0.633,0.468,2.006,1.214,1.434,3.180
236.2,0.688,0.480,2.022,1.146,1.266,3.211
202.7,0.537,0.463,2.169,1.248,1.611,3.260
208.5,0.622,0.484,2.073,1.266,1.440,3.278
194.9,0.501,0.463,2.265,1.357,1.633,3.100
203.2,0.526,0.475,2.107,1.274,1.384,3.175
210.8,0.511,0.460,2.130,1.389,1.528,3.161
194.6,0.516,0.466,2.166,1.436,1.566,3.237
195.6,0.560,0.472,2.198,1.319,1.421,3.293
191.1,0.521,0.479,2.110,1.341,1.547,3.342
190.8,0.529,0.479,2.161,1.397,1.605,3.262
216.2,0.451,0.479,2.240,1.338,1.792,3.197
220.9,0.639,0.461,1.993,1.326,1.386,3.220
192.8,0.634,0.463,2.034,1.368,1.570,3.215
211.3,0.635,0.490,2.094,1.250,1.307,3.294
217.7,0.642,0.459,2.117,1.311,1.362,3.297
213.0,0.594,0.470,2.033,1.226,1.370,3.271
205.4,0.599,0.441,2.098,1.405,1.424,3.087
194.2,0.554,0.465,2.044,1.360,1.422,3.164
202.9,0.612,0.455,2.017,1.370,1.412,3.070
203.3,0.573,0.478,2.141,1.246,1.528,3.284
208.7,0.580,0.457,2.157,1.282,1.459,3.338
195.4,0.607,0.475,2.084,1.359,1.392,3.319
207.3,0.625,0.453,1.935,1.378,1.416,2.985
204.3,0.524,0.442,2.095,1.404,1.513,3.123
215.1,0.610,0.455,2.073,1.336,1.425,3.109
198.5,0.597,0.457,2.065,1.448,1.397,3.180
198.1,0.507,0.474,2.119,1.318,1.676,3.341
202.2,0.496,0.457,2.322,1.461,1.487,3.175
199.7,0.490,0.461,2.324,1.260,1.519,3.310
209.2,0.641,0.431,2.069,1.411,1.429,3.143
192.8,0.478,0.449,2.472,1.631,1.628,3.245
199.3,0.621,0.472,2.181,1.363,1.284,3.182
191.7,0.483,0.454,2.427,1.495,1.534,3.131
206.6,0.538,0.443,2.246,1.391,1.451,3.114
221.0,0.528,0.462,2.003,1.337,1.496,3.198
202.0,0.501,0.457,2.150,1.375,1.534,3.076
194.9,0.509,0.475,2.265,1.383,1.533,3.369
192.7,0.476,0.442,2.273,1.507,1.574,3.301
212.0,0.558,0.463,2.152,1.413,1.488,3.269
200.0,0.489,0.470,2.149,1.431,1.538,3.240
190.6,0.503,0.450,2.272,1.479,1.654,3.197
196.1,0.496,0.462,2.160,1.462,1.513,3.344
195.7,0.551,0.471,2.183,1.415,1.459,3.222
210.0,0.621,0.472,2.054,1.231,1.296,3.357
200.1,0.555,0.470,2.134,1.322,1.464,3.309
215.6,0.549,0.459,2.100,1.169,1.520,3.120
212.8,0.589,0.464,2.082,1.269,1.441,3.402
206.1,0.496,0.473,2.118,1.267,1.618,3.246
226.7,0.655,0.471,1.871,1.331,1.389,3.271
202.4,0.531,0.447,2.139,1.309,1.450,3.213
213.0,0.542,0.462,2.121,1.346,1.487,3.369
197.0,0.546,0.473,2.249,1.328,1.591,3.255
191.9,0.477,0.482,2.145,1.417,1.704,3.197
215.3,0.639,0.468,2.021,1.153,1.302,3.143
224.4,0.592,0.463,2.010,1.281,1.361,3.186
206.9,0.724,0.490,1.857,1.274,1.312,3.362
211.0,0.575,0.474,2.130,1.282,1.476,3.216
