SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_5,SHAPE_7,SHAPE_8,SHAPE_10
0.573,0.463,2.055,1.298,1.512,0.985,0.384
0.517,0.466,2.413,1.394,1.477,1.121,0.373
0.586,0.474,2.124,1.391,1.557,0.963,0.323
0.526,0.466,2.202,1.439,1.454,1.068,0.368
0.617,0.480,2.033,1.454,1.466,0.935,0.380
0.512,0.469,2.413,1.555,1.410,1.036,0.378
0.638,0.474,2.065,1.417,1.428,0.981,0.354
0.581,0.451,2.032,1.340,1.466,1.038,0.378
0.563,0.473,2.186,1.281,1.453,1.058,0.387
0.585,0.469,2.120,1.362,1.500,1.047,0.345
0.561,0.459,2.149,1.383,1.495,1.065,0.421
0.496,0.464,2.345,1.415,1.422,1.092,0.373
0.465,0.458,2.307,1.321,1.568,0.996,0.400
0.566,0.476,2.089,1.351,1.428,1.092,0.333
0.552,0.461,2.147,1.215,1.492,0.996,0.376
0.573,0.475,2.139,1.332,1.533,1.008,0.338
0.718,0.489,1.887,1.400,1.297,1.151,0.380
0.537,0.461,2.058,1.328,1.585,1.071,0.379
0.569,0.473,2.080,1.298,1.446,0.964,0.365
0.519,0.480,2.349,1.388,1.597,1.033,0.372
0.547,0.466,2.168,1.305,1.476,1.061,0.368
0.579,0.475,2.189,1.463,1.553,1.077,0.372
0.563,0.502,2.168,1.350,1.561,1.012,0.365
0.518,0.465,2.117,1.322,1.477,1.021,0.403
0.564,0.473,2.240,1.288,1.458,1.062,0.362
0.557,0.462,2.284,1.343,1.444,1.041,0.374
0.589,0.468,2.107,1.397,1.432,1.042,0.374
0.566,0.451,1.983,1.332,1.373,1.066,0.396
0.544,0.462,2.203,1.481,1.507,1.062,0.394
0.538,0.459,2.180,1.353,1.586,1.014,0.410
0.517,0.463,2.087,1.259,1.573,1.007,0.389
0.557,0.469,2.115,1.302,1.523,1.081,0.382
0.551,0.482,2.039,1.473,1.601,0.952,0.379
0.517,0.468,2.159,1.358,1.509,1.062,0.360
0.576,0.462,1.962,1.354,1.362,1.029,0.386
0.536,0.458,2.222,1.337,1.515,1.049,0.378
0.642,0.457,1.990,1.259,1.324,1.076,0.363
0.674,0.466,1.989,1.330,1.396,1.165,0.394
0.515,0.471,2.216,1.396,1.485,1.015,0.380
0.508,0.450,2.146,1.324,1.532,1.052,0.412
0.589,0.462,2.107,1.440,1.375,1.066,0.386
0.516,0.469,2.259,1.412,1.614,1.074,0.366
0.525,0.475,2.132,1.382,1.572,1.038,0.361
0.519,0.481,2.402,1.304,1.573,1.065,0.367
0.529,0.456,2.138,1.405,1.527,0.971,0.383
0.613,0.478,2.155,1.336,1.428,1.024,0.378
0.469,0.463,2.237,1.360,1.666,0.979,0.373
0.593,0.483,2.115,1.216,1.463,1.120,0.369
0.508,0.456,2.267,1.312,1.542,1.067,0.396
0.539,0.463,2.158,1.359,1.537,1.054,0.392
0.500,0.461,2.224,1.361,1.488,0.942,0.405
0.632,0.474,1.895,1.276,1.404,1.106,0.390
0.633,0.480,2.013,1.349,1.336,1.034,0.411
0.535,0.460,2.103,1.406,1.467,1.042,0.405
0.583,0.456,2.164,1.241,1.505,1.039,0.369
0.524,0.449,2.074,1.458,1.716,1.038,0.393
0.501,0.449,2.216,1.295,1.675,1.010,0.369
0.649,0.470,2.035,1.309,1.277,1.042,0.400
0.496,0.446,2.174,1.355,1.598,1.005,0.421
0.481,0.471,2.255,1.306,1.582,1.046,0.388
0.530,0.501,2.329,1.445,1.489,1.029,0.365
0.534,0.452,2.104,1.289,1.568,0.985,0.380
0.601,0.471,2.034,1.356,1.366,1.079,0.393
0.647,0.483,2.071,1.440,1.385,0.987,0.379
0.643,0.463,1.888,1.246,1.319,1.011,0.390
0.507,0.473,2.263,1.225,1.515,0.974,0.399
0.637,0.450,1.977,1.268,1.317,1.058,0.407
0.562,0.464,2.186,1.341,1.519,1.041,0.366
0.563,0.468,1.973,1.276,1.466,1.114,0.370
0.531,0.452,2.097,1.366,1.449,1.015,0.380
0.609,0.454,2.065,1.354,1.391,1.082,0.379
0.563,0.464,2.091,1.356,1.448,1.083,0.372
0.547,0.464,2.104,1.191,1.454,1.053,0.382
0.560,0.463,2.168,1.327,1.524,1.094,0.403
0.584,0.457,1.971,1.236,1.365,0.976,0.423
0.560,0.488,2.159,1.288,1.494,0.992,0.365
0.566,0.456,2.146,1.368,1.301,1.095,0.401
0.513,0.459,2.141,1.390,1.587,0.999,0.349
0.578,0.447,1.904,1.315,1.561,1.012,0.394
0.530,0.484,2.236,1.176,1.638,1.085,0.368
0.570,0.466,2.068,1.266,1.504,1.119,0.385
0.666,0.461,1.850,1.402,1.304,0.979,0.383
0.615,0.486,2.038,1.293,1.465,1.055,0.344
0.498,0.466,2.281,1.365,1.613,1.082,0.361
0.580,0.481,2.188,1.338,1.504,1.032,0.364
0.549,0.458,2.102,1.264,1.458,1.036,0.387
0.519,0.452,2.223,1.368,1.455,1.060,0.399
0.556,0.466,2.058,1.389,1.603,1.059,0.436
0.569,0.467,2.049,1.340,1.538,0.967,0.370
0.547,0.471,2.104,1.238,1.468,1.033,0.392
0.527,0.466,2.159,1.219,1.592,1.029,0.392
0.628,0.472,2.036,1.272,1.445,1.047,0.401
0.596,0.463,2.073,1.410,1.489,1.001,0.386
0.612,0.474,2.062,1.379,1.309,1.078,0.377
0.531,0.470,2.104,1.219,1.602,1.028,0.370
0.426,0.462,2.289,1.368,1.672,0.940,0.379
0.657,0.489,2.043,1.386,1.363,1.056,0.371
0.592,0.472,1.953,1.263,1.560,1.090,0.380
0.601,0.473,2.057,1.258,1.342,1.116,0.378
0.438,0.477,2.251,1.208,1.710,0.976,0.370
0.690,0.467,1.987,1.341,1.260,1.067,0.383
0.495,0.459,2.250,1.322,1.599,1.083,0.383
0.615,0.470,1.961,1.300,1.473,1.083,0.375
0.574,0.471,1.975,1.236,1.471,1.098,0.385
0.561,0.470,2.045,1.241,1.513,1.084,0.386
0.485,0.451,2.262,1.226,1.584,1.005,0.419
0.589,0.498,2.122,1.268,1.469,1.036,0.390
0.515,0.474,2.213,1.278,1.440,1.036,0.394
0.576,0.459,2.072,1.297,1.425,1.067,0.366
0.502,0.476,2.265,1.321,1.600,0.979,0.385
0.911,0.508,1.898,1.488,1.294,0.964,0.424
0.580,0.487,2.078,1.378,1.415,1.100,0.388
0.581,0.476,2.024,1.305,1.459,1.013,0.396
0.623,0.469,1.950,1.527,1.469,0.954,0.395
0.557,0.467,2.140,1.233,1.435,1.027,0.370
0.535,0.459,2.140,1.270,1.426,1.048,0.375
0.669,0.493,1.991,1.359,1.339,1.062,0.395
0.484,0.470,2.299,1.336,1.505,1.080,0.387
0.563,0.455,2.115,1.511,1.674,1.073,0.389
0.507,0.468,2.149,1.365,1.555,1.052,0.408
0.562,0.479,2.239,1.254,1.534,1.080,0.381
0.576,0.452,1.924,1.308,1.490,1.085,0.393
0.530,0.480,2.026,1.305,1.683,1.053,0.374
0.614,0.468,1.939,1.313,1.276,1.164,0.380
0.641,0.464,1.974,1.304,1.562,1.004,0.347
0.517,0.469,2.210,1.233,1.573,1.118,0.391
0.564,0.469,2.034,1.248,1.650,1.038,0.385
0.617,0.459,2.132,1.426,1.528,1.034,0.357
0.619,0.470,2.047,1.340,1.471,1.061,0.371
0.621,0.475,2.047,1.319,1.392,1.171,0.396
0.526,0.466,2.295,1.436,1.450,1.069,0.364
0.514,0.475,2.367,1.267,1.512,0.987,0.405
0.572,0.446,2.103,1.313,1.480,0.969,0.380
0.519,0.469,2.272,1.341,1.544,1.003,0.351
0.515,0.490,2.053,1.170,1.655,1.001,0.354
0.544,0.459,2.108,1.321,1.604,1.011,0.379
0.482,0.443,2.023,1.273,1.573,0.953,0.438
0.959,0.483,1.988,1.394,1.266,0.898,0.405
0.646,0.473,2.007,1.306,1.409,1.104,0.353
0.508,0.472,2.116,1.358,1.572,0.914,0.378
0.546,0.478,2.052,1.226,1.542,0.995,0.376
0.548,0.468,2.188,1.359,1.508,1.073,0.390
0.575,0.460,2.163,1.358,1.515,1.018,0.375
0.597,0.465,2.048,1.432,1.515,1.011,0.379
0.626,0.461,2.037,1.226,1.418,1.057,0.406
0.572,0.477,1.888,1.329,1.527,1.099,0.376
0.488,0.442,2.054,1.359,1.587,0.996,0.411
0.546,0.471,2.082,1.288,1.430,1.074,0.405
0.630,0.446,1.807,1.414,1.383,1.064,0.368
0.609,0.454,1.919,1.348,1.463,1.028,0.389
0.560,0.469,2.061,1.319,1.496,1.041,0.404
0.495,0.454,2.140,1.342,1.475,0.987,0.377
0.653,0.458,2.111,1.641,1.306,0.975,0.371
0.534,0.467,2.194,1.367,1.458,1.079,0.404
0.585,0.449,2.103,1.407,1.428,1.007,0.394
0.510,0.477,2.221,1.333,1.537,1.107,0.387
0.520,0.450,2.125,1.372,1.493,0.959,0.405
0.626,0.470,2.103,1.371,1.465,1.060,0.381
0.592,0.465,2.090,1.370,1.415,0.969,0.393
0.537,0.473,2.207,1.255,1.591,1.034,0.356
0.558,0.480,2.121,1.387,1.463,1.094,0.383
0.617,0.485,1.908,1.309,1.468,1.041,0.389
0.738,0.472,1.973,1.363,1.289,1.034,0.407
0.542,0.480,2.066,1.313,1.651,0.929,0.402
0.624,0.488,2.091,1.317,1.445,1.035,0.374
0.539,0.440,2.175,1.395,1.469,1.094,0.408
0.585,0.465,2.051,1.320,1.327,1.082,0.409
0.501,0.467,2.133,1.213,1.546,1.049,0.384
0.554,0.455,2.073,1.318,1.488,1.082,0.352
0.585,0.459,1.937,1.283,1.403,1.015,0.358
0.541,0.466,2.202,1.363,1.545,1.106,0.363
0.555,0.499,2.142,1.276,1.568,1.041,0.352
0.595,0.487,2.213,1.450,1.447,1.037,0.393
0.566,0.479,2.077,1.373,1.429,1.081,0.370
0.473,0.460,2.303,1.351,1.672,1.018,0.388
0.653,0.494,2.073,1.340,1.271,1.062,0.371
0.480,0.509,2.276,1.307,1.712,0.998,0.324
0.674,0.478,2.018,1.311,1.388,0.979,0.375
0.485,0.488,2.334,1.215,1.621,0.954,0.390
0.660,0.490,1.968,1.391,1.442,1.108,0.318
0.666,0.470,1.954,1.297,1.328,1.034,0.389
0.537,0.459,2.126,1.324,1.530,1.108,0.381
0.700,0.473,1.918,1.338,1.297,1.110,0.424
0.540,0.468,2.120,1.247,1.661,1.006,0.375
0.555,0.469,2.183,1.334,1.486,1.107,0.399
0.525,0.454,2.154,1.347,1.617,1.014,0.382
0.529,0.470,2.038,1.378,1.547,1.027,0.361
0.489,0.446,2.258,1.348,1.433,1.017,0.398
0.564,0.476,2.067,1.334,1.319,1.014,0.383
0.489,0.459,2.236,1.311,1.622,1.010,0.374
0.711,0.462,1.962,1.313,1.297,1.030,0.402
0.597,0.477,2.086,1.385,1.422,1.028,0.364
0.567,0.469,2.121,1.300,1.546,1.086,0.385
0.583,0.470,2.122,1.321,1.407,1.079,0.376
0.569,0.469,2.108,1.372,1.538,0.988,0.378
0.573,0.448,2.162,1.392,1.379,0.971,0.414
0.488,0.480,2.263,1.320,1.517,1.047,0.368
0.530,0.451,2.228,1.264,1.519,1.025,0.395
0.547,0.477,2.067,1.368,1.546,1.013,0.410
0.697,0.491,1.928,1.323,1.388,1.017,0.400
0.754,0.479,1.899,1.348,1.267,1.047,0.404
0.556,0.463,2.163,1.413,1.467,1.111,0.421
0.568,0.470,2.065,1.259,1.573,0.984,0.403
0.520,0.467,2.219,1.291,1.656,1.002,0.407
0.531,0.467,2.124,1.206,1.573,1.141,0.400
0.504,0.486,2.168,1.452,1.657,0.990,0.371
0.632,0.450,2.060,1.263,1.478,0.988,0.372
0.615,0.462,2.050,1.268,1.326,1.121,0.399
0.562,0.469,2.115,1.336,1.476,1.083,0.371
0.509,0.477,2.237,1.353,1.532,1.011,0.354
0.502,0.457,2.258,1.333,1.733,1.053,0.384
0.600,0.481,2.074,1.238,1.466,1.087,0.348
0.662,0.471,2.002,1.246,1.322,1.063,0.346
0.479,0.463,2.240,1.252,1.645,1.006,0.358
0.536,0.460,2.164,1.285,1.514,0.968,0.375
0.705,0.475,2.083,1.345,1.362,0.942,0.385
0.534,0.479,2.294,1.196,1.519,1.078,0.377
0.600,0.488,2.120,1.249,1.450,1.117,0.400
0.532,0.460,2.076,1.362,1.520,0.991,0.359
0.477,0.459,2.307,1.293,1.593,1.019,0.393
0.527,0.481,2.186,1.315,1.456,0.904,0.386
0.549,0.477,2.012,1.203,1.426,1.046,0.374
0.497,0.479,2.223,1.329,1.554,1.042,0.378
0.581,0.462,2.084,1.316,1.448,1.119,0.393
0.550,0.471,2.206,1.410,1.367,1.099,0.376
0.492,0.451,2.299,1.298,1.633,1.063,0.361
0.642,0.482,1.947,1.231,1.218,1.008,0.377
0.562,0.456,2.118,1.209,1.592,1.035,0.385
0.552,0.457,2.072,1.423,1.432,1.009,0.416
0.556,0.461,2.005,1.251,1.575,1.031,0.380
0.501,0.469,2.158,1.394,1.608,0.999,0.393
0.594,0.462,2.048,1.301,1.423,1.103,0.384
0.553,0.461,2.035,1.295,1.388,0.957,0.421
0.569,0.467,2.075,1.482,1.403,1.008,0.372
0.593,0.477,2.067,1.317,1.412,0.995,0.385
0.529,0.454,2.044,1.253,1.583,1.031,0.381
0.484,0.437,2.349,1.261,1.494,1.057,0.376
0.547,0.471,2.254,1.374,1.449,1.032,0.351
0.520,0.458,2.255,1.346,1.399,1.012,0.423
0.547,0.468,2.226,1.316,1.450,1.063,0.368
0.526,0.462,2.148,1.110,1.602,1.011,0.362
0.496,0.470,2.449,1.454,1.610,1.040,0.343
0.478,0.471,2.247,1.240,1.613,0.975,0.350
0.559,0.455,2.136,1.366,1.626,1.073,0.356
0.533,0.453,2.257,1.388,1.500,0.984,0.381
0.555,0.479,2.108,1.284,1.474,1.069,0.393
0.485,0.472,2.260,1.314,1.585,0.960,0.353
0.585,0.459,2.089,1.222,1.433,1.101,0.351
0.502,0.452,2.243,1.203,1.520,0.987,0.375
0.517,0.470,2.323,1.344,1.615,1.055,0.353
0.716,0.468,1.977,1.299,1.224,1.104,0.416
0.538,0.463,2.255,1.319,1.497,1.019,0.402
0.469,0.466,2.305,1.268,1.544,0.934,0.367
0.625,0.492,2.031,1.327,1.340,1.068,0.365
0.549,0.462,2.010,1.315,1.462,1.029,0.393
0.561,0.469,1.976,1.389,1.496,1.062,0.423
0.546,0.456,2.218,1.202,1.505,1.053,0.355
0.492,0.456,2.113,1.229,1.509,1.037,0.399
0.546,0.458,2.093,1.293,1.515,1.093,0.395
0.593,0.473,2.151,1.463,1.374,1.077,0.371
0.559,0.466,2.159,1.312,1.385,1.066,0.379
0.435,0.452,2.445,1.331,1.652,0.975,0.356
0.536,0.475,2.250,1.389,1.598,1.053,0.360
0.505,0.469,2.244,1.281,1.630,0.961,0.360
0.607,0.479,2.032,1.278,1.444,1.022,0.376
0.549,0.457,1.850,1.383,1.457,1.068,0.412
0.552,0.486,2.014,1.301,1.613,0.909,0.367
0.562,0.459,2.312,1.321,1.458,1.094,0.370
0.563,0.466,2.041,1.347,1.446,0.959,0.390
0.515,0.459,2.045,1.169,1.538,0.983,0.368
0.628,0.475,2.001,1.475,1.256,1.081,0.420
0.497,0.474,2.300,1.274,1.673,1.046,0.338
0.572,0.451,1.999,1.312,1.369,0.955,0.421
0.535,0.447,2.213,1.287,1.607,1.066,0.359
0.513,0.454,2.311,1.309,1.558,1.090,0.374
0.500,0.448,2.247,1.397,1.524,1.082,0.388
0.543,0.468,2.032,1.354,1.509,1.005,0.381
0.608,0.467,1.923,1.275,1.340,1.084,0.409
0.541,0.454,2.129,1.158,1.435,1.059,0.377
0.525,0.451,2.164,1.412,1.494,1.078,0.402
0.554,0.448,2.149,1.241,1.443,1.114,0.398
0.512,0.453,2.143,1.375,1.544,1.000,0.379
0.470,0.414,2.227,1.441,1.580,1.023,0.390
0.563,0.473,2.138,1.246,1.525,1.073,0.380
0.572,0.437,2.044,1.358,1.320,1.038,0.418
0.542,0.459,2.162,1.387,1.410,1.052,0.364
0.538,0.441,2.032,1.299,1.565,1.055,0.378
0.577,0.434,2.097,1.346,1.542,1.042,0.379
0.549,0.453,2.212,1.184,1.486,0.991,0.381
0.573,0.458,2.071,1.450,1.485,1.071,0.363
0.487,0.461,2.280,1.282,1.533,0.971,0.361
0.542,0.455,1.977,1.371,1.537,0.944,0.393
0.530,0.467,2.222,1.319,1.599,1.018,0.368
0.678,0.485,1.937,1.354,1.263,0.981,0.375
0.603,0.473,2.038,1.241,1.481,1.102,0.372
0.494,0.477,2.224,1.124,1.621,1.039,0.389
0.578,0.446,2.133,1.292,1.475,0.978,0.407
0.559,0.470,2.026,1.248,1.457,1.019,0.367
0.611,0.467,1.931,1.374,1.383,1.086,0.373
0.588,0.462,2.026,1.194,1.426,1.091,0.387
0.598,0.456,2.018,1.258,1.295,1.089,0.379
0.505,0.458,2.106,1.255,1.456,0.993,0.367
0.522,0.450,2.108,1.254,1.461,0.962,0.386
0.559,0.462,1.932,1.410,1.365,1.004,0.386
0.695,0.468,2.094,1.460,1.364,1.072,0.368
0.502,0.472,2.254,1.340,1.551,1.000,0.383
0.555,0.484,2.181,1.219,1.476,1.031,0.397
0.553,0.475,2.169,1.269,1.501,1.041,0.398
0.541,0.460,2.042,1.354,1.503,1.035,0.378
0.633,0.468,2.006,1.275,1.434,0.998,0.410
0.688,0.480,2.022,1.348,1.266,0.959,0.398
0.537,0.463,2.169,1.334,1.611,0.980,0.376
0.622,0.484,2.073,1.358,1.440,0.990,0.372
0.501,0.463,2.265,1.464,1.633,1.067,0.378
0.526,0.475,2.107,1.272,1.384,1.011,0.370
0.511,0.460,2.130,1.386,1.528,1.004,0.379
0.516,0.466,2.166,1.348,1.566,0.950,0.354
0.560,0.472,2.198,1.485,1.421,0.959,0.379
0.521,0.479,2.110,1.356,1.547,0.996,0.355
0.529,0.479,2.161,1.303,1.605,0.914,0.355
0.451,0.479,2.240,1.242,1.792,1.023,0.400
0.639,0.461,1.993,1.397,1.386,1.005,0.407
0.634,0.463,2.034,1.477,1.570,1.171,0.360
0.635,0.490,2.094,1.277,1.307,1.033,0.387
0.642,0.459,2.117,1.429,1.362,1.100,0.389
0.594,0.470,2.033,1.322,1.370,0.995,0.363
0.599,0.441,2.098,1.331,1.424,1.090,0.375
0.554,0.465,2.044,1.329,1.422,0.990,0.364
0.612,0.455,2.017,1.432,1.412,1.021,0.387
0.573,0.478,2.141,1.251,1.528,0.944,0.382
0.580,0.457,2.157,1.530,1.459,0.994,0.389
0.607,0.475,2.084,1.198,1.392,1.010,0.360
0.625,0.453,1.935,1.341,1.416,1.111,0.384
0.524,0.442,2.095,1.286,1.513,1.038,0.396
0.610,0.455,2.073,1.377,1.425,1.059,0.375
0.597,0.457,2.065,1.310,1.397,1.102,0.359
0.507,0.474,2.119,1.404,1.676,0.976,0.368
0.496,0.457,2.322,1.461,1.487,1.040,0.399
0.490,0.461,2.324,1.324,1.519,1.040,0.371
0.641,0.431,2.069,1.518,1.429,1.097,0.401
0.478,0.449,2.472,1.480,1.628,1.116,0.369
0.621,0.472,2.181,1.529,1.284,1.030,0.373
0.483,0.454,2.427,1.442,1.534,1.082,0.377
0.538,0.443,2.246,1.562,1.451,0.979,0.406
0.528,0.462,2.003,1.508,1.496,1.005,0.416
0.501,0.457,2.150,1.299,1.534,1.002,0.388
0.509,0.475,2.265,1.320,1.533,1.032,0.363
0.476,0.442,2.273,1.412,1.574,0.995,0.383
0.558,0.463,2.152,1.342,1.488,1.043,0.409
0.489,0.470,2.149,1.405,1.538,1.009,0.369
0.503,0.450,2.272,1.425,1.654,1.015,0.368
0.496,0.462,2.160,1.309,1.513,0.993,0.363
0.551,0.471,2.183,1.471,1.459,1.018,0.356
0.621,0.472,2.054,1.289,1.296,1.015,0.400
0.555,0.470,2.134,1.283,1.464,1.014,0.370
0.549,0.459,2.100,1.290,1.520,0.964,0.399
0.589,0.464,2.082,1.196,1.441,1.035,0.408
0.496,0.473,2.118,1.426,1.618,0.911,0.381
0.655,0.471,1.871,1.343,1.389,1.140,0.406
0.531,0.447,2.139,1.454,1.450,1.008,0.360
0.542,0.462,2.121,1.414,1.487,1.012,0.375
0.546,0.473,2.249,1.351,1.591,1.051,0.364
0.477,0.482,2.145,1.283,1.704,1.009,0.342
0.639,0.468,2.021,1.347,1.302,1.015,0.395
0.592,0.463,2.010,1.275,1.361,0.965,0.427
0.724,0.490,1.857,1.423,1.312,1.122,0.365
0.575,0.474,2.130,1.346,1.476,1.076,0.387
