SHAPE_1,SHAPE_3,SHAPE_4,SHAPE_8,SHAPE_9
0.560,2.177,1.347,1.033,3.247
0.590,2.037,1.264,0.968,3.215
0.503,2.204,1.363,0.998,3.285
0.540,2.176,1.314,1.014,3.295
0.534,2.180,1.304,1.001,3.311
0.548,2.196,1.360,1.103,3.194
0.573,2.055,1.249,0.985,3.348
0.517,2.413,1.422,1.121,3.497
0.586,2.124,1.261,0.963,3.453
0.526,2.202,1.338,1.068,3.392
0.617,2.033,1.251,0.935,3.432
0.512,2.413,1.424,1.036,3.384
0.638,2.065,1.255,0.981,3.207
0.581,2.032,1.320,1.038,3.356
0.563,2.186,1.299,1.058,3.413
0.585,2.120,1.340,1.047,3.222
0.561,2.149,1.373,1.065,3.244
0.496,2.345,1.473,1.092,3.260
0.465,2.307,1.207,0.996,3.075
0.566,2.089,1.379,1.092,3.304
0.552,2.147,1.212,0.996,3.152
0.573,2.139,1.365,1.008,3.251
0.718,1.887,1.275,1.151,3.345
0.537,2.058,1.321,1.071,3.279
0.569,2.080,1.235,0.964,3.328
0.519,2.349,1.228,1.033,3.491
0.547,2.168,1.375,1.061,3.287
0.579,2.189,1.360,1.077,3.343
0.563,2.168,1.391,1.012,3.405
0.518,2.117,1.267,1.021,3.246
0.564,2.240,1.380,1.062,3.364
0.557,2.284,1.213,1.041,3.240
0.589,2.107,1.333,1.042,3.386
0.566,1.983,1.335,1.066,3.371
0.544,2.203,1.357,1.062,3.267
0.538,2.180,1.332,1.014,3.110
0.517,2.087,1.256,1.007,3.314
0.557,2.115,1.404,1.081,3.303
0.551,2.039,1.183,0.952,3.388
0.517,2.159,1.405,1.062,3.338
0.576,1.962,1.272,1.029,3.298
0.536,2.222,1.451,1.049,3.297
0.642,1.990,1.231,1.076,3.134
0.674,1.989,1.260,1.165,3.195
0.515,2.216,1.461,1.015,3.273
0.508,2.146,1.399,1.052,3.295
0.589,2.107,1.257,1.066,3.213
0.516,2.259,1.378,1.074,3.376
0.525,2.132,1.385,1.038,3.209
0.519,2.402,1.326,1.065,3.428
0.529,2.138,1.246,0.971,3.295
0.613,2.155,1.274,1.024,3.401
0.469,2.237,1.399,0.979,3.283
0.593,2.115,1.306,1.120,3.257
0.508,2.267,1.415,1.067,3.291
0.539,2.158,1.343,1.054,3.242
0.500,2.224,1.242,0.942,3.240
0.632,1.895,1.373,1.106,3.227
0.633,2.013,1.300,1.034,3.502
0.535,2.103,1.361,1.042,3.266
0.583,2.164,1.295,1.039,3.212
0.524,2.074,1.366,1.038,3.177
0.501,2.216,1.281,1.010,3.286
0.649,2.035,1.248,1.042,3.196
0.496,2.174,1.328,1.005,3.223
0.481,2.255,1.487,1.046,3.253
0.530,2.329,1.353,1.029,3.519
0.534,2.104,1.317,0.985,3.205
0.601,2.034,1.262,1.079,3.325
0.647,2.071,1.189,0.987,3.392
0.643,1.888,1.226,1.011,3.210
0.507,2.263,1.207,0.974,3.239
0.637,1.977,1.328,1.058,3.218
0.562,2.186,1.346,1.041,3.241
0.563,1.973,1.348,1.114,3.210
0.531,2.097,1.315,1.015,3.406
0.609,2.065,1.193,1.082,3.143
0.563,2.091,1.343,1.083,3.268
0.547,2.104,1.342,1.053,3.217
0.560,2.168,1.281,1.094,3.316
0.584,1.971,1.274,0.976,3.298
0.560,2.159,1.351,0.992,3.352
0.566,2.146,1.377,1.095,3.202
0.513,2.141,1.328,0.999,3.213
0.578,1.904,1.296,1.012,3.164
0.530,2.236,1.457,1.085,3.246
0.570,2.068,1.321,1.119,3.177
0.666,1.850,1.224,0.979,3.289
0.615,2.038,1.291,1.055,3.400
0.498,2.281,1.428,1.082,3.316
0.580,2.188,1.277,1.032,3.317
0.549,2.102,1.284,1.036,3.271
0.519,2.223,1.325,1.060,3.279
0.556,2.058,1.315,1.059,3.277
0.569,2.049,1.278,0.967,3.348
0.547,2.104,1.234,1.033,3.294
0.527,2.159,1.240,1.029,3.245
0.628,2.036,1.284,1.047,3.341
0.596,2.073,1.198,1.001,3.275
0.612,2.062,1.298,1.078,3.397
0.531,2.104,1.245,1.028,3.106
0.426,2.289,1.338,0.940,3.223
0.657,2.043,1.235,1.056,3.312
0.592,1.953,1.291,1.090,3.283
0.601,2.057,1.329,1.116,3.181
0.438,2.251,1.342,0.976,3.349
0.690,1.987,1.161,1.067,3.253
0.495,2.250,1.313,1.083,3.214
0.615,1.961,1.315,1.083,3.329
0.574,1.975,1.300,1.098,3.350
0.561,2.045,1.388,1.084,3.259
0.485,2.262,1.223,1.005,3.170
0.589,2.122,1.270,1.036,3.386
0.515,2.213,1.281,1.036,3.095
0.576,2.072,1.338,1.067,3.151
0.502,2.265,1.308,0.979,3.449
0.911,1.898,0.984,0.964,3.404
0.580,2.078,1.203,1.100,3.190
0.581,2.024,1.232,1.013,3.483
0.623,1.950,1.106,0.954,3.207
0.557,2.140,1.365,1.027,3.327
0.535,2.140,1.356,1.048,3.434
0.669,1.991,1.228,1.062,3.460
0.484,2.299,1.490,1.080,3.279
0.563,2.115,1.292,1.073,3.135
0.507,2.149,1.385,1.052,3.301
0.562,2.239,1.267,1.080,3.371
0.576,1.924,1.325,1.085,3.316
0.530,2.026,1.238,1.053,3.295
0.614,1.939,1.279,1.164,3.188
0.641,1.974,1.240,1.004,3.200
0.517,2.210,1.328,1.118,3.257
0.564,2.034,1.349,1.038,3.238
0.617,2.132,1.302,1.034,3.261
0.619,2.047,1.312,1.061,3.279
0.621,2.047,1.315,1.171,3.252
0.526,2.295,1.436,1.069,3.292
0.514,2.367,1.303,0.987,3.314
0.572,2.103,1.259,0.969,3.371
0.519,2.272,1.339,1.003,3.408
0.515,2.053,1.345,1.001,3.297
0.544,2.108,1.286,1.011,3.280
0.482,2.023,1.232,0.953,3.157
0.959,1.988,0.913,0.898,3.064
0.646,2.007,1.266,1.104,3.209
0.508,2.116,1.276,0.914,3.316
0.546,2.052,1.260,0.995,3.205
0.548,2.188,1.231,1.073,3.228
0.575,2.163,1.272,1.018,3.000
0.597,2.048,1.298,1.011,3.230
0.626,2.037,1.199,1.057,3.232
0.572,1.888,1.358,1.099,3.274
0.488,2.054,1.310,0.996,3.268
0.546,2.082,1.280,1.074,3.282
0.630,1.807,1.279,1.064,3.037
0.609,1.919,1.178,1.028,3.172
0.560,2.061,1.278,1.041,3.192
0.495,2.140,1.323,0.987,3.407
0.653,2.111,1.143,0.975,3.218
0.534,2.194,1.264,1.079,3.280
0.585,2.103,1.250,1.007,3.114
0.510,2.221,1.363,1.107,3.392
0.520,2.125,1.225,0.959,3.224
0.626,2.103,1.389,1.060,3.280
0.592,2.090,1.115,0.969,3.238
0.537,2.207,1.238,1.034,3.238
0.558,2.121,1.355,1.094,3.322
0.617,1.908,1.229,1.041,3.210
0.738,1.973,1.094,1.034,3.189
0.542,2.066,1.282,0.929,3.269
0.624,2.091,1.225,1.035,3.300
0.539,2.175,1.420,1.094,3.208
0.585,2.051,1.275,1.082,3.396
0.501,2.133,1.308,1.049,3.198
0.554,2.073,1.322,1.082,3.290
0.585,1.937,1.197,1.015,3.181
0.541,2.202,1.467,1.106,3.225
0.555,2.142,1.214,1.041,3.371
0.595,2.213,1.243,1.037,3.344
0.566,2.077,1.287,1.081,3.189
0.473,2.303,1.484,1.018,3.195
0.653,2.073,1.359,1.062,3.392
0.480,2.276,1.433,0.998,3.462
0.674,2.018,1.101,0.979,3.022
0.485,2.334,1.259,0.954,3.500
0.660,1.968,1.322,1.108,3.267
0.666,1.954,1.206,1.034,3.301
0.537,2.126,1.230,1.108,3.173
0.700,1.918,1.202,1.110,3.204
0.540,2.120,1.330,1.006,3.247
0.555,2.183,1.311,1.107,3.383
0.525,2.154,1.317,1.014,3.102
0.529,2.038,1.300,1.027,3.219
0.489,2.258,1.352,1.017,3.304
0.564,2.067,1.269,1.014,3.275
0.489,2.236,1.309,1.010,3.232
0.711,1.962,1.292,1.030,3.127
0.597,2.086,1.288,1.028,3.277
0.567,2.121,1.338,1.086,3.299
0.583,2.122,1.235,1.079,3.250
0.569,2.108,1.211,0.988,3.249
0.573,2.162,1.173,0.971,3.242
0.488,2.263,1.273,1.047,3.231
0.530,2.228,1.230,1.025,3.181
0.547,2.067,1.389,1.013,3.232
0.697,1.928,1.264,1.017,3.321
0.754,1.899,1.149,1.047,3.321
0.556,2.163,1.404,1.111,3.332
0.568,2.065,1.222,0.984,3.421
0.520,2.219,1.313,1.002,3.241
0.531,2.124,1.368,1.141,3.217
0.504,2.168,1.236,0.990,3.468
0.632,2.060,1.268,0.988,3.139
0.615,2.050,1.300,1.121,3.146
0.562,2.115,1.424,1.083,3.241
0.509,2.237,1.282,1.011,3.371
0.502,2.258,1.300,1.053,3.213
0.600,2.074,1.272,1.087,3.324
0.662,2.002,1.149,1.063,3.250
0.479,2.240,1.344,1.006,3.205
0.536,2.164,1.281,0.968,3.214
0.705,2.083,1.207,0.942,3.385
0.534,2.294,1.312,1.078,3.264
0.600,2.120,1.273,1.117,3.307
0.532,2.076,1.278,0.991,3.222
0.477,2.307,1.415,1.019,3.171
0.527,2.186,1.208,0.904,3.233
0.549,2.012,1.266,1.046,3.207
0.497,2.223,1.282,1.042,3.443
0.581,2.084,1.249,1.119,3.130
0.550,2.206,1.338,1.099,3.231
0.492,2.299,1.279,1.063,3.232
0.642,1.947,1.087,1.008,3.277
0.562,2.118,1.305,1.035,3.181
0.552,2.072,1.242,1.009,3.391
0.556,2.005,1.250,1.031,3.258
0.501,2.158,1.348,0.999,3.176
0.594,2.048,1.300,1.103,3.163
0.553,2.035,1.231,0.957,3.209
0.569,2.075,1.245,1.008,3.303
0.593,2.067,1.152,0.995,3.265
0.529,2.044,1.294,1.031,3.233
0.484,2.349,1.315,1.057,3.131
0.547,2.254,1.316,1.032,3.303
0.520,2.255,1.262,1.012,3.336
0.547,2.226,1.287,1.063,3.204
0.526,2.148,1.169,1.011,3.084
0.496,2.449,1.368,1.040,3.352
0.478,2.247,1.362,0.975,3.321
0.559,2.136,1.283,1.073,3.222
0.533,2.257,1.316,0.984,3.174
0.555,2.108,1.364,1.069,3.177
0.485,2.260,1.400,0.960,3.231
0.585,2.089,1.430,1.101,3.097
0.502,2.243,1.355,0.987,3.314
0.517,2.323,1.273,1.055,3.357
0.716,1.977,1.181,1.104,3.272
0.538,2.255,1.335,1.019,3.292
0.469,2.305,1.284,0.934,3.289
0.625,2.031,1.213,1.068,3.335
0.549,2.010,1.212,1.029,3.215
0.561,1.976,1.261,1.062,3.246
0.546,2.218,1.364,1.053,3.017
0.492,2.113,1.272,1.037,3.126
0.546,2.093,1.279,1.093,3.188
0.593,2.151,1.311,1.077,3.370
0.559,2.159,1.298,1.066,3.286
0.435,2.445,1.422,0.975,3.312
0.536,2.250,1.255,1.053,3.282
0.505,2.244,1.365,0.961,3.230
0.607,2.032,1.216,1.022,3.211
0.549,1.850,1.327,1.068,3.009
0.552,2.014,1.185,0.909,3.454
0.562,2.312,1.239,1.094,3.175
0.563,2.041,1.232,0.959,3.258
0.515,2.045,1.354,0.983,3.237
0.628,2.001,1.340,1.081,3.207
0.497,2.300,1.432,1.046,3.380
0.572,1.999,1.174,0.955,3.378
0.535,2.213,1.429,1.066,3.284
0.513,2.311,1.352,1.090,3.246
0.500,2.247,1.437,1.082,3.229
0.543,2.032,1.254,1.005,3.399
0.608,1.923,1.250,1.084,3.287
0.541,2.129,1.201,1.059,3.282
0.525,2.164,1.394,1.078,3.337
0.554,2.149,1.267,1.114,3.307
0.512,2.143,1.316,1.000,3.220
0.470,2.227,1.423,1.023,3.034
0.563,2.138,1.376,1.073,3.379
0.572,2.044,1.282,1.038,3.117
0.542,2.162,1.362,1.052,3.329
0.538,2.032,1.273,1.055,3.195
0.577,2.097,1.346,1.042,3.220
0.549,2.212,1.398,0.991,3.187
0.573,2.071,1.359,1.071,3.335
0.487,2.280,1.417,0.971,3.300
0.542,1.977,1.329,0.944,3.324
0.530,2.222,1.465,1.018,3.334
0.678,1.937,1.180,0.981,3.292
0.603,2.038,1.365,1.102,3.248
0.494,2.224,1.246,1.039,3.269
0.578,2.133,1.241,0.978,3.203
0.559,2.026,1.237,1.019,3.399
0.611,1.931,1.278,1.086,3.226
0.588,2.026,1.373,1.091,3.144
0.598,2.018,1.346,1.089,3.218
0.505,2.106,1.319,0.993,3.280
0.522,2.108,1.388,0.962,3.200
0.559,1.932,1.237,1.004,3.230
0.695,2.094,1.189,1.072,3.342
0.502,2.254,1.329,1.000,3.284
0.555,2.181,1.498,1.031,3.352
0.553,2.169,1.306,1.041,3.245
0.541,2.042,1.303,1.035,3.218
0.633,2.006,1.214,0.998,3.180
0.688,2.022,1.146,0.959,3.211
0.537,2.169,1.248,0.980,3.260
0.622,2.073,1.266,0.990,3.278
0.501,2.265,1.357,1.067,3.100
0.526,2.107,1.274,1.011,3.175
0.511,2.130,1.389,1.004,3.161
0.516,2.166,1.436,0.950,3.237
0.560,2.198,1.319,0.959,3.293
0.521,2.110,1.341,0.996,3.342
0.529,2.161,1.397,0.914,3.262
0.451,2.240,1.338,1.023,3.197
0.639,1.993,1.326,1.005,3.220
0.634,2.034,1.368,1.171,3.215
0.635,2.094,1.250,1.033,3.294
0.642,2.117,1.311,1.100,3.297
0.594,2.033,1.226,0.995,3.271
0.599,2.098,1.405,1.090,3.087
0.554,2.044,1.360,0.990,3.164
0.612,2.017,1.370,1.021,3.070
0.573,2.141,1.246,0.944,3.284
0.580,2.157,1.282,0.994,3.338
0.607,2.084,1.359,1.010,3.319
0.625,1.935,1.378,1.111,2.985
0.524,2.095,1.404,1.038,3.123
0.610,2.073,1.336,1.059,3.109
0.597,2.065,1.448,1.102,3.180
0.507,2.119,1.318,0.976,3.341
0.496,2.322,1.461,1.040,3.175
0.490,2.324,1.260,1.040,3.310
0.641,2.069,1.411,1.097,3.143
0.478,2.472,1.631,1.116,3.245
0.621,2.181,1.363,1.030,3.182
0.483,2.427,1.495,1.082,3.131
0.538,2.246,1.391,0.979,3.114
0.528,2.003,1.337,1.005,3.198
0.501,2.150,1.375,1.002,3.076
0.509,2.265,1.383,1.032,3.369
0.476,2.273,1.507,0.995,3.301
0.558,2.152,1.413,1.043,3.269
0.489,2.149,1.431,1.009,3.240
0.503,2.272,1.479,1.015,3.197
0.496,2.160,1.462,0.993,3.344
0.551,2.183,1.415,1.018,3.222
0.621,2.054,1.231,1.015,3.357
0.555,2.134,1.322,1.014,3.309
0.549,2.100,1.169,0.964,3.120
0.589,2.082,1.269,1.035,3.402
0.496,2.118,1.267,0.911,3.246
0.655,1.871,1.331,1.140,3.271
0.531,2.139,1.309,1.008,3.213
0.542,2.121,1.346,1.012,3.369
0.546,2.249,1.328,1.051,3.255
0.477,2.145,1.417,1.009,3.197
0.639,2.021,1.153,1.015,3.143
0.592,2.010,1.281,0.965,3.186
0.724,1.857,1.274,1.122,3.362
0.575,2.130,1.282,1.076,3.216
0.537,2.007,1.278,1.044,3.130
0.566,2.105,1.262,1.047,3.182
0.629,1.913,1.239,1.098,3.253
0.515,2.145,1.351,1.037,3.122
0.642,2.034,1.260,1.028,3.247
0.474,2.272,1.331,1.061,3.226
0.554,2.229,1.416,1.115,3.208
0.570,2.018,1.367,1.121,3.151
0.575,1.972,1.299,1.056,3.041
0.550,2.177,1.318,1.091,3.271
0.550,2.272,1.403,1.126,3.153
0.604,2.089,1.240,1.066,3.319
0.620,2.013,1.228,1.076,3.122
0.528,2.022,1.304,1.010,3.138
0.526,2.166,1.241,1.007,3.259
0.626,2.039,1.288,1.042,3.282
0.556,1.953,1.347,1.023,3.103
0.583,2.094,1.295,1.043,3.189
0.677,1.895,1.220,1.101,3.193
0.625,1.929,1.216,0.990,3.149
0.506,2.271,1.318,0.990,3.313
0.683,1.943,1.233,0.925,3.374
0.667,1.964,1.271,1.107,3.402
0.740,2.095,1.078,0.959,3.178
0.577,2.113,1.339,1.096,3.310
0.538,2.163,1.414,1.075,3.309
0.563,2.136,1.393,1.059,3.266
0.531,2.141,1.397,1.028,3.100
0.500,2.235,1.367,1.023,3.414
0.550,2.124,1.393,1.068,3.319
0.540,2.202,1.342,1.066,3.364
0.491,2.097,1.379,0.979,3.186
0.501,2.374,1.480,1.053,3.333
0.607,2.018,1.267,1.098,3.181
0.499,2.257,1.311,1.027,3.229
0.726,1.927,1.057,0.901,3.166
0.594,1.990,1.421,1.155,3.137
0.524,2.178,1.345,1.030,3.305
0.549,2.022,1.228,0.979,3.273
0.607,2.110,1.282,1.071,3.154
0.576,2.053,1.343,1.067,3.225
0.492,2.230,1.390,1.042,3.116
0.499,2.145,1.374,0.996,3.310
0.580,2.015,1.325,1.080,3.178
0.507,2.189,1.355,0.976,3.179
0.538,2.126,1.332,1.018,3.303
0.559,2.042,1.317,1.012,3.292
0.580,2.155,1.354,1.060,3.180
0.572,2.103,1.272,0.980,3.318
0.541,2.236,1.364,1.096,3.196
0.506,2.192,1.297,1.004,3.233
0.467,2.205,1.268,0.983,3.246
0.511,2.159,1.402,1.036,3.316
0.586,2.073,1.396,1.122,3.229
0.520,2.229,1.377,1.043,3.172
0.557,2.105,1.360,1.003,3.391
0.584,2.044,1.280,1.045,3.291
0.671,1.922,1.259,1.075,3.197
0.512,2.265,1.286,1.010,3.184
0.563,2.160,1.321,1.053,3.270
0.551,1.951,1.233,1.026,3.180
0.575,2.041,1.196,1.017,3.210
0.510,2.213,1.423,1.030,3.209
0.626,2.063,1.356,1.111,3.233
0.537,2.103,1.401,1.026,3.230
0.520,2.302,1.510,1.137,3.205
0.663,1.951,1.233,1.001,3.239
0.459,2.239,1.390,0.980,3.220
0.487,2.046,1.307,0.978,3.189
0.529,2.055,1.334,1.017,3.323
0.523,2.135,1.260,0.992,3.228
0.499,2.274,1.258,0.942,3.176
0.521,2.109,1.363,1.050,3.102
0.536,2.308,1.443,1.107,3.205
0.610,1.981,1.211,1.060,3.267
0.471,2.275,1.251,1.020,3.304
0.509,2.145,1.333,0.951,3.324
0.507,2.124,1.364,1.004,3.175
0.526,2.194,1.371,1.022,3.262
0.555,2.245,1.311,1.081,3.177
0.586,2.026,1.259,1.013,3.282
0.595,2.224,1.333,1.107,3.069
0.542,2.136,1.370,0.988,3.172
0.562,2.102,1.205,1.062,3.235
0.570,2.166,1.302,1.064,3.164
0.552,2.134,1.325,0.994,3.203
0.581,2.119,1.342,0.998,3.398
0.538,2.032,1.179,0.948,3.338
0.612,2.095,1.255,1.083,3.137
0.581,2.058,1.342,1.020,3.191
0.571,2.018,1.383,1.065,3.359
0.568,2.168,1.420,1.138,3.317
0.533,2.100,1.397,0.995,3.238
0.660,1.910,1.255,0.992,3.263
0.555,2.138,1.317,1.020,3.336
0.541,2.235,1.242,1.007,3.157
0.580,2.168,1.447,1.085,3.322
0.633,2.000,1.251,1.054,3.368
0.608,1.956,1.229,0.994,3.174
0.588,2.023,1.406,0.957,3.221
0.607,2.117,1.242,1.025,3.244
0.569,1.952,1.350,0.993,3.257
0.523,2.284,1.374,1.039,3.243
0.477,2.296,1.475,0.954,3.194
0.499,2.168,1.493,0.983,3.307
0.560,2.344,1.178,1.037,3.308
0.623,2.013,1.221,1.077,3.082
0.567,2.001,1.185,0.949,3.300
0.612,2.141,1.305,1.008,3.192
0.511,2.076,1.409,1.030,3.303
0.565,2.041,1.308,1.028,3.148
0.636,1.991,1.192,1.021,3.163
0.637,1.945,1.253,1.013,3.245
0.575,2.004,1.275,1.038,3.244
0.571,2.028,1.297,1.030,3.221
0.457,2.339,1.341,0.942,3.254
0.687,2.051,1.244,1.026,3.157
0.555,2.119,1.381,1.022,3.166
0.617,2.109,1.407,1.035,3.205
0.533,2.056,1.352,0.985,3.106
0.577,2.002,1.257,0.981,3.260
0.519,2.330,1.373,0.996,3.319
0.618,2.056,1.378,1.094,3.210
0.586,1.995,1.259,1.022,3.244
0.495,2.349,1.272,1.038,3.373
0.561,2.077,1.352,1.060,3.242
0.469,2.391,1.364,0.957,3.095
0.593,2.105,1.324,1.110,3.101
0.659,2.054,1.391,1.135,3.270
0.475,2.209,1.315,0.970,3.200
0.539,2.114,1.261,1.004,3.238
0.533,2.307,1.474,1.031,3.211
0.568,2.140,1.161,0.982,3.258
0.551,2.074,1.244,0.957,3.213
0.567,2.196,1.246,1.069,3.112
0.477,2.185,1.267,0.967,3.337
0.557,2.151,1.254,0.982,3.203
0.677,1.937,1.165,0.988,3.366
0.547,2.127,1.181,0.939,3.230
0.505,2.135,1.290,1.007,3.300
0.512,2.103,1.345,1.007,3.274
0.567,2.234,1.286,1.110,3.149
0.556,2.093,1.317,1.004,3.264
0.516,2.210,1.311,1.054,3.142
0.650,1.984,1.301,1.066,3.338
0.558,2.204,1.279,1.069,3.240
0.537,2.108,1.273,0.990,3.333
0.591,2.153,1.300,1.065,3.143
0.533,1.999,1.275,0.966,3.329
0.555,2.146,1.319,1.017,3.106
0.499,2.146,1.419,1.027,2.967
0.586,2.072,1.295,1.055,3.285
0.622,2.019,1.296,0.957,3.320
0.668,1.997,1.229,1.016,3.304
0.598,2.074,1.251,1.000,3.247
0.520,2.196,1.291,0.997,3.293
0.681,1.952,1.202,1.071,3.285
0.474,2.314,1.499,1.059,3.093
0.534,2.219,1.294,1.043,3.324
0.518,2.253,1.306,0.975,3.236
0.578,2.058,1.338,1.052,3.261
0.589,1.913,1.249,1.037,3.232
0.663,2.036,1.274,1.037,3.232
0.535,2.007,1.221,0.991,3.271
0.531,2.132,1.247,0.920,3.473
0.498,2.200,1.310,0.956,3.297
0.532,2.082,1.296,0.959,3.347
0.562,2.084,1.286,1.095,3.185
0.521,2.131,1.269,0.985,3.205
0.565,2.022,1.326,1.084,3.039
0.536,2.087,1.371,0.974,3.389
0.523,2.229,1.347,1.025,3.102
0.501,2.168,1.461,1.006,3.313
0.618,1.974,1.194,0.963,3.111
0.515,2.286,1.352,1.008,3.227
0.547,2.124,1.331,1.004,3.270
0.543,2.060,1.275,1.004,3.226
0.518,2.161,1.284,1.032,3.077
0.507,2.013,1.330,1.013,3.334
0.661,1.978,1.299,0.976,3.273
0.558,1.957,1.363,1.091,3.173
0.598,2.184,1.280,1.072,3.279
0.521,2.209,1.461,1.065,3.288
0.626,2.009,1.198,1.046,3.236
0.536,2.121,1.345,1.096,3.203
0.514,2.049,1.286,0.940,3.443
0.532,2.243,1.329,0.941,3.080
0.573,2.108,1.278,1.045,3.063
0.630,1.904,1.310,1.122,3.098
0.531,2.282,1.350,0.952,3.287
0.462,2.301,1.354,0.946,3.269
0.550,2.190,1.372,1.048,3.167
0.683,2.033,1.307,1.078,3.281
0.474,2.309,1.262,0.957,3.466
0.527,2.295,1.318,1.056,3.257
0.525,2.121,1.278,0.966,3.197
0.508,2.436,1.523,1.051,3.231
0.503,2.205,1.258,1.036,3.274
0.599,1.997,1.497,1.119,3.246
0.529,2.227,1.359,1.063,3.292
