SIZE_0,SHAPE_1,SHAPE_3,SHAPE_4,SHAPE_9
204.4,0.630,1.807,1.279,3.037
203.0,0.609,1.919,1.178,3.172
210.5,0.560,2.061,1.278,3.192
206.7,0.495,2.140,1.323,3.407
216.4,0.653,2.111,1.143,3.218
206.3,0.534,2.194,1.264,3.280
219.9,0.585,2.103,1.250,3.114
203.7,0.510,2.221,1.363,3.392
222.2,0.520,2.125,1.225,3.224
214.6,0.626,2.103,1.389,3.280
220.0,0.592,2.090,1.115,3.238
200.0,0.537,2.207,1.238,3.238
202.1,0.558,2.121,1.355,3.322
211.1,0.617,1.908,1.229,3.210
232.7,0.738,1.973,1.094,3.189
206.6,0.542,2.066,1.282,3.269
199.9,0.624,2.091,1.225,3.300
210.6,0.539,2.175,1.420,3.208
222.7,0.585,2.051,1.275,3.396
202.9,0.501,2.133,1.308,3.198
195.7,0.554,2.073,1.322,3.290
201.7,0.585,1.937,1.197,3.181
186.5,0.541,2.202,1.467,3.225
189.1,0.555,2.142,1.214,3.371
212.0,0.595,2.213,1.243,3.344
211.7,0.566,2.077,1.287,3.189
200.7,0.473,2.303,1.484,3.195
214.0,0.653,2.073,1.359,3.392
180.6,0.480,2.276,1.433,3.462
214.9,0.674,2.018,1.101,3.022
200.3,0.485,2.334,1.259,3.500
180.6,0.660,1.968,1.322,3.267
218.2,0.666,1.954,1.206,3.301
199.5,0.537,2.126,1.230,3.173
233.3,0.700,1.918,1.202,3.204
202.7,0.540,2.120,1.330,3.247
215.9,0.555,2.183,1.311,3.383
203.2,0.525,2.154,1.317,3.102
193.4,0.529,2.038,1.300,3.219
219.3,0.489,2.258,1.352,3.304
200.7,0.564,2.067,1.269,3.275
198.3,0.489,2.236,1.309,3.232
224.5,0.711,1.962,1.292,3.127
206.8,0.597,2.086,1.288,3.277
197.8,0.567,2.121,1.338,3.299
205.6,0.583,2.122,1.235,3.250
208.6,0.569,2.108,1.211,3.249
219.4,0.573,2.162,1.173,3.242
205.1,0.488,2.263,1.273,3.231
211.4,0.530,2.228,1.230,3.181
213.7,0.547,2.067,1.389,3.232
223.5,0.697,1.928,1.264,3.321
233.1,0.754,1.899,1.149,3.321
223.3,0.556,2.163,1.404,3.332
216.9,0.568,2.065,1.222,3.421
203.2,0.520,2.219,1.313,3.241
200.9,0.531,2.124,1.368,3.217
192.1,0.504,2.168,1.236,3.468
190.4,0.632,2.060,1.268,3.139
218.2,0.615,2.050,1.300,3.146
199.9,0.562,2.115,1.424,3.241
196.4,0.509,2.237,1.282,3.371
207.1,0.502,2.258,1.300,3.213
189.3,0.600,2.074,1.272,3.324
206.8,0.662,2.002,1.149,3.250
209.3,0.479,2.240,1.344,3.205
208.9,0.536,2.164,1.281,3.214
212.7,0.705,2.083,1.207,3.385
193.1,0.534,2.294,1.312,3.264
204.3,0.600,2.120,1.273,3.307
190.4,0.532,2.076,1.278,3.222
201.9,0.477,2.307,1.415,3.171
201.5,0.527,2.186,1.208,3.233
199.1,0.549,2.012,1.266,3.207
203.0,0.497,2.223,1.282,3.443
213.7,0.581,2.084,1.249,3.130
211.6,0.550,2.206,1.338,3.231
198.6,0.492,2.299,1.279,3.232
223.7,0.642,1.947,1.087,3.277
194.0,0.562,2.118,1.305,3.181
213.8,0.552,2.072,1.242,3.391
217.4,0.556,2.005,1.250,3.258
209.4,0.501,2.158,1.348,3.176
211.9,0.594,2.048,1.300,3.163
227.6,0.553,2.035,1.231,3.209
207.1,0.569,2.075,1.245,3.303
206.3,0.593,2.067,1.152,3.265
203.2,0.529,2.044,1.294,3.233
202.8,0.484,2.349,1.315,3.131
195.6,0.547,2.254,1.316,3.303
219.0,0.520,2.255,1.262,3.336
207.1,0.547,2.226,1.287,3.204
195.6,0.526,2.148,1.169,3.084
194.5,0.496,2.449,1.368,3.352
189.3,0.478,2.247,1.362,3.321
200.5,0.559,2.136,1.283,3.222
211.2,0.533,2.257,1.316,3.174
209.2,0.555,2.108,1.364,3.177
192.0,0.485,2.260,1.400,3.231
201.6,0.585,2.089,1.430,3.097
204.6,0.502,2.243,1.355,3.314
194.3,0.517,2.323,1.273,3.357
233.5,0.716,1.977,1.181,3.272
208.2,0.538,2.255,1.335,3.292
198.7,0.469,2.305,1.284,3.289
202.7,0.625,2.031,1.213,3.335
210.9,0.549,2.010,1.212,3.215
228.2,0.561,1.976,1.261,3.246
182.7,0.546,2.218,1.364,3.017
223.1,0.492,2.113,1.272,3.126
222.0,0.546,2.093,1.279,3.188
211.0,0.593,2.151,1.311,3.370
202.6,0.559,2.159,1.298,3.286
196.2,0.435,2.445,1.422,3.312
195.5,0.536,2.250,1.255,3.282
188.2,0.505,2.244,1.365,3.230
216.0,0.607,2.032,1.216,3.211
222.2,0.549,1.850,1.327,3.009
204.4,0.552,2.014,1.185,3.454
204.5,0.562,2.312,1.239,3.175
217.0,0.563,2.041,1.232,3.258
199.3,0.515,2.045,1.354,3.237
223.6,0.628,2.001,1.340,3.207
187.5,0.497,2.300,1.432,3.380
228.9,0.572,1.999,1.174,3.378
192.9,0.535,2.213,1.429,3.284
197.1,0.513,2.311,1.352,3.246
207.6,0.500,2.247,1.437,3.229
210.9,0.543,2.032,1.254,3.399
212.3,0.608,1.923,1.250,3.287
208.5,0.541,2.129,1.201,3.282
209.7,0.525,2.164,1.394,3.337
213.2,0.554,2.149,1.267,3.307
207.8,0.512,2.143,1.316,3.220
203.7,0.470,2.227,1.423,3.034
195.9,0.563,2.138,1.376,3.379
226.5,0.572,2.044,1.282,3.117
204.6,0.542,2.162,1.362,3.329
201.4,0.538,2.032,1.273,3.195
203.2,0.577,2.097,1.346,3.220
199.7,0.549,2.212,1.398,3.187
200.2,0.573,2.071,1.359,3.335
192.3,0.487,2.280,1.417,3.300
219.9,0.542,1.977,1.329,3.324
196.4,0.530,2.222,1.465,3.334
205.9,0.678,1.937,1.180,3.292
203.4,0.603,2.038,1.365,3.248
215.2,0.494,2.224,1.246,3.269
213.8,0.578,2.133,1.241,3.203
195.4,0.559,2.026,1.237,3.399
200.1,0.611,1.931,1.278,3.226
208.4,0.588,2.026,1.373,3.144
220.2,0.598,2.018,1.346,3.218
213.5,0.505,2.106,1.319,3.280
208.7,0.522,2.108,1.388,3.200
215.2,0.559,1.932,1.237,3.230
203.6,0.695,2.094,1.189,3.342
212.0,0.502,2.254,1.329,3.284
206.6,0.555,2.181,1.498,3.352
202.9,0.553,2.169,1.306,3.245
199.9,0.541,2.042,1.303,3.218
227.6,0.633,2.006,1.214,3.180
236.2,0.688,2.022,1.146,3.211
202.7,0.537,2.169,1.248,3.260
208.5,0.622,2.073,1.266,3.278
194.9,0.501,2.265,1.357,3.100
203.2,0.526,2.107,1.274,3.175
210.8,0.511,2.130,1.389,3.161
194.6,0.516,2.166,1.436,3.237
195.6,0.560,2.198,1.319,3.293
191.1,0.521,2.110,1.341,3.342
190.8,0.529,2.161,1.397,3.262
216.2,0.451,2.240,1.338,3.197
220.9,0.639,1.993,1.326,3.220
192.8,0.634,2.034,1.368,3.215
211.3,0.635,2.094,1.250,3.294
217.7,0.642,2.117,1.311,3.297
213.0,0.594,2.033,1.226,3.271
205.4,0.599,2.098,1.405,3.087
194.2,0.554,2.044,1.360,3.164
202.9,0.612,2.017,1.370,3.070
203.3,0.573,2.141,1.246,3.284
208.7,0.580,2.157,1.282,3.338
195.4,0.607,2.084,1.359,3.319
207.3,0.625,1.935,1.378,2.985
204.3,0.524,2.095,1.404,3.123
215.1,0.610,2.073,1.336,3.109
198.5,0.597,2.065,1.448,3.180
198.1,0.507,2.119,1.318,3.341
202.2,0.496,2.322,1.461,3.175
199.7,0.490,2.324,1.260,3.310
209.2,0.641,2.069,1.411,3.143
192.8,0.478,2.472,1.631,3.245
199.3,0.621,2.181,1.363,3.182
191.7,0.483,2.427,1.495,3.131
206.6,0.538,2.246,1.391,3.114
221.0,0.528,2.003,1.337,3.198
202.0,0.501,2.150,1.375,3.076
194.9,0.509,2.265,1.383,3.369
192.7,0.476,2.273,1.507,3.301
212.0,0.558,2.152,1.413,3.269
200.0,0.489,2.149,1.431,3.240
190.6,0.503,2.272,1.479,3.197
196.1,0.496,2.160,1.462,3.344
195.7,0.551,2.183,1.415,3.222
210.0,0.621,2.054,1.231,3.357
200.1,0.555,2.134,1.322,3.309
215.6,0.549,2.100,1.169,3.120
212.8,0.589,2.082,1.269,3.402
206.1,0.496,2.118,1.267,3.246
226.7,0.655,1.871,1.331,3.271
202.4,0.531,2.139,1.309,3.213
213.0,0.542,2.121,1.346,3.369
197.0,0.546,2.249,1.328,3.255
191.9,0.477,2.145,1.417,3.197
215.3,0.639,2.021,1.153,3.143
224.4,0.592,2.010,1.281,3.186
206.9,0.724,1.857,1.274,3.362
211.0,0.575,2.130,1.282,3.216
206.1,0.537,2.007,1.278,3.130
214.3,0.566,2.105,1.262,3.182
219.4,0.629,1.913,1.239,3.253
191.7,0.515,2.145,1.351,3.122
206.3,0.642,2.034,1.260,3.247
190.3,0.474,2.272,1.331,3.226
206.0,0.554,2.229,1.416,3.208
196.5,0.570,2.018,1.367,3.151
220.0,0.575,1.972,1.299,3.041
203.7,0.550,2.177,1.318,3.271
202.6,0.550,2.272,1.403,3.153
205.8,0.604,2.089,1.240,3.319
203.8,0.620,2.013,1.228,3.122
219.5,0.528,2.022,1.304,3.138
202.5,0.526,2.166,1.241,3.259
205.9,0.626,2.039,1.288,3.282
218.0,0.556,1.953,1.347,3.103
200.9,0.583,2.094,1.295,3.189
208.4,0.677,1.895,1.220,3.193
220.1,0.625,1.929,1.216,3.149
206.8,0.506,2.271,1.318,3.313
230.4,0.683,1.943,1.233,3.374
235.6,0.667,1.964,1.271,3.402
225.9,0.740,2.095,1.078,3.178
199.6,0.577,2.113,1.339,3.310
193.6,0.538,2.163,1.414,3.309
203.6,0.563,2.136,1.393,3.266
197.4,0.531,2.141,1.397,3.100
200.5,0.500,2.235,1.367,3.414
199.3,0.550,2.124,1.393,3.319
219.2,0.540,2.202,1.342,3.364
224.0,0.491,2.097,1.379,3.186
191.3,0.501,2.374,1.480,3.333
214.1,0.607,2.018,1.267,3.181
216.2,0.499,2.257,1.311,3.229
233.3,0.726,1.927,1.057,3.166
197.2,0.594,1.990,1.421,3.137
200.2,0.524,2.178,1.345,3.305
212.9,0.549,2.022,1.228,3.273
214.1,0.607,2.110,1.282,3.154
202.7,0.576,2.053,1.343,3.225
205.8,0.492,2.230,1.390,3.116
198.6,0.499,2.145,1.374,3.310
186.4,0.580,2.015,1.325,3.178
198.4,0.507,2.189,1.355,3.179
215.2,0.538,2.126,1.332,3.303
203.2,0.559,2.042,1.317,3.292
200.6,0.580,2.155,1.354,3.180
206.2,0.572,2.103,1.272,3.318
204.3,0.541,2.236,1.364,3.196
216.7,0.506,2.192,1.297,3.233
204.8,0.467,2.205,1.268,3.246
203.4,0.511,2.159,1.402,3.316
206.3,0.586,2.073,1.396,3.229
193.8,0.520,2.229,1.377,3.172
194.4,0.557,2.105,1.360,3.391
188.8,0.584,2.044,1.280,3.291
215.4,0.671,1.922,1.259,3.197
200.7,0.512,2.265,1.286,3.184
193.8,0.563,2.160,1.321,3.270
211.1,0.551,1.951,1.233,3.180
212.3,0.575,2.041,1.196,3.210
208.8,0.510,2.213,1.423,3.209
213.6,0.626,2.063,1.356,3.233
194.9,0.537,2.103,1.401,3.230
188.9,0.520,2.302,1.510,3.205
205.0,0.663,1.951,1.233,3.239
201.3,0.459,2.239,1.390,3.220
227.3,0.487,2.046,1.307,3.189
196.7,0.529,2.055,1.334,3.323
206.4,0.523,2.135,1.260,3.228
214.4,0.499,2.274,1.258,3.176
204.6,0.521,2.109,1.363,3.102
186.2,0.536,2.308,1.443,3.205
208.6,0.610,1.981,1.211,3.267
204.4,0.471,2.275,1.251,3.304
207.0,0.509,2.145,1.333,3.324
217.4,0.507,2.124,1.364,3.175
203.8,0.526,2.194,1.371,3.262
196.2,0.555,2.245,1.311,3.177
203.4,0.586,2.026,1.259,3.282
234.4,0.595,2.224,1.333,3.069
208.7,0.542,2.136,1.370,3.172
213.1,0.562,2.102,1.205,3.235
198.8,0.570,2.166,1.302,3.164
198.0,0.552,2.134,1.325,3.203
213.1,0.581,2.119,1.342,3.398
203.0,0.538,2.032,1.179,3.338
209.7,0.612,2.095,1.255,3.137
205.2,0.581,2.058,1.342,3.191
216.5,0.571,2.018,1.383,3.359
198.9,0.568,2.168,1.420,3.317
215.2,0.533,2.100,1.397,3.238
219.3,0.660,1.910,1.255,3.263
203.5,0.555,2.138,1.317,3.336
210.2,0.541,2.235,1.242,3.157
218.3,0.580,2.168,1.447,3.322
207.8,0.633,2.000,1.251,3.368
220.8,0.608,1.956,1.229,3.174
200.1,0.588,2.023,1.406,3.221
187.2,0.607,2.117,1.242,3.244
207.6,0.569,1.952,1.350,3.257
201.1,0.523,2.284,1.374,3.243
196.3,0.477,2.296,1.475,3.194
202.7,0.499,2.168,1.493,3.307
207.0,0.560,2.344,1.178,3.308
205.4,0.623,2.013,1.221,3.082
201.5,0.567,2.001,1.185,3.300
199.0,0.612,2.141,1.305,3.192
214.6,0.511,2.076,1.409,3.303
192.2,0.565,2.041,1.308,3.148
213.3,0.636,1.991,1.192,3.163
211.4,0.637,1.945,1.253,3.245
207.9,0.575,2.004,1.275,3.244
196.3,0.571,2.028,1.297,3.221
202.4,0.457,2.339,1.341,3.254
226.1,0.687,2.051,1.244,3.157
212.6,0.555,2.119,1.381,3.166
192.2,0.617,2.109,1.407,3.205
203.2,0.533,2.056,1.352,3.106
203.2,0.577,2.002,1.257,3.260
191.5,0.519,2.330,1.373,3.319
217.7,0.618,2.056,1.378,3.210
206.7,0.586,1.995,1.259,3.244
202.5,0.495,2.349,1.272,3.373
203.8,0.561,2.077,1.352,3.242
199.0,0.469,2.391,1.364,3.095
210.1,0.593,2.105,1.324,3.101
204.6,0.659,2.054,1.391,3.270
201.7,0.475,2.209,1.315,3.200
217.1,0.539,2.114,1.261,3.238
205.4,0.533,2.307,1.474,3.211
194.1,0.568,2.140,1.161,3.258
210.6,0.551,2.074,1.244,3.213
218.9,0.567,2.196,1.246,3.112
197.2,0.477,2.185,1.267,3.337
210.8,0.557,2.151,1.254,3.203
220.1,0.677,1.937,1.165,3.366
196.4,0.547,2.127,1.181,3.230
217.5,0.505,2.135,1.290,3.300
203.0,0.512,2.103,1.345,3.274
213.5,0.567,2.234,1.286,3.149
199.1,0.556,2.093,1.317,3.264
206.5,0.516,2.210,1.311,3.142
220.4,0.650,1.984,1.301,3.338
200.5,0.558,2.204,1.279,3.240
197.2,0.537,2.108,1.273,3.333
207.7,0.591,2.153,1.300,3.143
212.5,0.533,1.999,1.275,3.329
202.0,0.555,2.146,1.319,3.106
197.1,0.499,2.146,1.419,2.967
203.1,0.586,2.072,1.295,3.285
207.2,0.622,2.019,1.296,3.320
214.7,0.668,1.997,1.229,3.304
198.5,0.598,2.074,1.251,3.247
218.2,0.520,2.196,1.291,3.293
221.6,0.681,1.952,1.202,3.285
196.6,0.474,2.314,1.499,3.093
196.3,0.534,2.219,1.294,3.324
197.7,0.518,2.253,1.306,3.236
208.0,0.578,2.058,1.338,3.261
205.0,0.589,1.913,1.249,3.232
209.7,0.663,2.036,1.274,3.232
203.2,0.535,2.007,1.221,3.271
207.1,0.531,2.132,1.247,3.473
204.5,0.498,2.200,1.310,3.297
219.3,0.532,2.082,1.296,3.347
217.4,0.562,2.084,1.286,3.185
217.8,0.521,2.131,1.269,3.205
204.9,0.565,2.022,1.326,3.039
210.1,0.536,2.087,1.371,3.389
202.2,0.523,2.229,1.347,3.102
196.1,0.501,2.168,1.461,3.313
211.6,0.618,1.974,1.194,3.111
181.1,0.515,2.286,1.352,3.227
202.6,0.547,2.124,1.331,3.270
199.0,0.543,2.060,1.275,3.226
202.2,0.518,2.161,1.284,3.077
209.7,0.507,2.013,1.330,3.334
197.9,0.661,1.978,1.299,3.273
218.1,0.558,1.957,1.363,3.173
196.4,0.598,2.184,1.280,3.279
212.4,0.521,2.209,1.461,3.288
206.5,0.626,2.009,1.198,3.236
201.6,0.536,2.121,1.345,3.203
199.5,0.514,2.049,1.286,3.443
197.2,0.532,2.243,1.329,3.080
206.6,0.573,2.108,1.278,3.063
220.0,0.630,1.904,1.310,3.098
211.3,0.531,2.282,1.350,3.287
208.8,0.462,2.301,1.354,3.269
193.6,0.550,2.190,1.372,3.167
204.6,0.683,2.033,1.307,3.281
208.4,0.474,2.309,1.262,3.466
205.7,0.527,2.295,1.318,3.257
206.1,0.525,2.121,1.278,3.197
201.6,0.508,2.436,1.523,3.231
198.4,0.503,2.205,1.258,3.274
210.2,0.599,1.997,1.497,3.246
211.0,0.529,2.227,1.359,3.292
