SIZE_0,SHAPE_1,SHAPE_3,SHAPE_4,SHAPE_9
194.3,0.613,2.331,1.003,3.234
196.1,0.500,2.351,0.998,3.196
196.6,0.624,2.466,0.868,3.236
187.4,0.510,2.306,1.102,3.215
204.9,0.480,2.446,1.025,3.169
195.7,0.537,2.396,1.079,3.132
220.9,0.766,2.126,1.056,3.111
198.9,0.557,2.368,0.935,3.203
203.8,0.501,2.365,1.141,3.277
174.9,0.530,2.545,1.123,3.249
192.0,0.548,2.233,1.138,3.362
192.4,0.494,2.425,1.189,3.286
181.1,0.513,2.633,1.144,3.312
194.8,0.683,2.300,0.905,3.213
187.0,0.537,2.395,1.090,3.212
185.8,0.528,2.402,1.026,3.119
187.5,0.557,2.421,1.041,3.221
194.6,0.542,2.362,1.082,3.349
179.4,0.489,2.475,1.191,3.224
181.5,0.495,2.512,1.228,3.277
189.2,0.582,2.277,1.100,3.220
181.4,0.637,2.463,1.076,3.342
204.1,0.631,2.265,1.132,3.262
207.5,0.570,2.373,0.964,3.305
202.7,0.528,2.454,1.120,3.220
200.1,0.541,2.351,1.042,3.245
188.3,0.535,2.371,1.120,3.286
192.7,0.479,2.361,1.176,3.133
185.5,0.524,2.441,1.187,3.243
190.7,0.582,2.296,1.106,3.348
187.7,0.503,2.145,1.185,3.073
201.7,0.488,2.357,1.171,3.163
193.9,0.551,2.413,1.127,3.261
185.7,0.569,2.315,1.113,3.265
185.6,0.528,2.284,1.025,3.164
193.5,0.569,2.357,1.052,3.098
189.3,0.564,2.412,1.030,3.261
193.1,0.526,2.527,1.205,3.176
190.3,0.568,2.293,1.180,3.043
198.9,0.631,2.164,1.008,3.388
181.8,0.496,2.320,1.179,3.209
190.9,0.514,2.408,1.118,3.219
186.6,0.565,2.337,1.002,3.146
189.7,0.686,2.428,0.969,3.226
205.7,0.534,2.360,1.090,3.139
181.9,0.521,2.400,1.238,3.174
218.9,0.708,2.216,0.900,3.192
193.1,0.501,2.386,1.049,3.217
189.3,0.553,2.473,1.006,3.147
184.9,0.535,2.424,1.071,3.187
181.3,0.565,2.330,1.148,3.091
192.8,0.569,2.390,1.024,3.225
187.4,0.626,2.298,1.025,3.198
200.0,0.581,2.394,0.928,3.256
187.4,0.605,2.318,1.017,3.239
180.1,0.560,2.349,1.194,3.240
184.3,0.543,2.258,1.043,3.239
174.9,0.625,2.252,1.078,3.212
200.1,0.711,2.256,0.953,3.304
185.4,0.496,2.469,1.148,3.248
174.2,0.548,2.262,1.083,3.163
189.9,0.594,2.376,1.095,3.141
198.5,0.597,2.233,1.049,3.133
197.2,0.559,2.225,1.105,3.291
192.2,0.496,2.383,1.219,3.224
191.4,0.564,2.367,1.058,3.153
198.2,0.551,2.258,1.145,3.158
193.5,0.608,2.301,0.978,3.368
190.3,0.480,2.375,1.183,3.255
184.2,0.464,2.199,1.256,3.178
203.3,0.550,2.294,1.010,3.203
198.4,0.593,2.348,0.915,3.225
207.0,0.748,2.227,0.937,3.306
195.8,0.573,2.345,1.064,2.980
200.9,0.504,2.403,1.194,3.001
187.5,0.499,2.329,1.177,3.214
198.0,0.681,2.263,1.026,3.118
196.1,0.685,2.301,0.999,3.172
188.0,0.481,2.534,1.251,3.264
184.0,0.484,2.450,1.192,3.092
187.0,0.516,2.543,1.102,3.295
194.8,0.522,2.390,1.187,3.076
186.2,0.553,2.420,1.127,3.102
189.8,0.535,2.441,1.139,3.164
186.6,0.629,2.300,1.017,3.239
194.4,0.546,2.293,1.085,3.195
194.7,0.529,2.442,1.105,3.192
202.3,0.526,2.235,1.084,3.120
191.3,0.497,2.456,1.282,3.051
186.8,0.534,2.458,1.062,3.319
200.3,0.477,2.471,1.128,3.294
197.8,0.513,2.401,1.090,3.221
178.6,0.631,2.261,1.027,3.342
181.2,0.541,2.415,1.033,3.391
182.1,0.491,2.398,1.109,3.161
189.5,0.551,2.345,1.085,3.363
222.6,0.640,2.307,0.878,3.240
191.2,0.462,2.378,1.134,3.006
184.2,0.480,2.416,1.106,3.218
180.6,0.511,2.434,1.188,3.313
217.2,0.788,2.237,0.909,3.110
194.2,0.582,2.339,1.016,3.176
204.2,0.695,2.264,0.920,3.317
207.5,0.843,2.141,0.927,3.211
213.6,0.812,2.041,1.039,3.103
239.3,0.725,2.314,0.775,3.123
190.5,0.601,2.435,1.053,3.145
201.3,0.666,2.235,1.164,3.268
182.3,0.541,2.366,1.079,3.219
188.9,0.613,2.389,1.055,3.323
187.6,0.567,2.207,1.150,3.326
198.0,0.618,2.388,1.045,3.300
189.6,0.520,2.395,1.152,3.177
193.0,0.533,2.279,1.128,3.159
192.3,0.737,2.161,1.053,3.200
198.6,0.586,2.281,1.038,3.035
203.0,0.822,2.203,0.925,3.108
192.1,0.689,2.138,1.032,3.277
191.6,0.624,2.184,1.063,3.213
196.8,0.544,2.236,1.083,3.051
195.1,0.568,2.269,1.013,3.119
188.1,0.594,2.305,1.097,3.124
188.0,0.544,2.400,1.149,3.095
190.7,0.682,2.211,1.031,3.189
177.5,0.618,2.379,1.158,3.140
192.9,0.477,2.405,1.233,3.135
177.9,0.488,2.309,1.139,3.311
184.6,0.489,2.296,1.307,3.144
180.4,0.546,2.303,1.135,3.083
205.7,0.732,2.092,0.964,3.314
182.2,0.552,2.321,1.164,2.977
186.2,0.578,2.149,1.182,3.103
177.5,0.515,2.242,1.212,3.043
199.0,0.671,2.483,0.909,3.386
184.0,0.547,2.465,1.144,3.294
191.8,0.590,2.224,1.242,2.953
181.9,0.559,2.481,1.143,2.990
187.3,0.638,2.232,1.004,3.104
191.4,0.561,2.337,1.144,3.005
189.1,0.556,2.390,1.036,3.254
185.6,0.529,2.284,1.116,3.226
195.0,0.524,2.269,1.117,2.982
178.6,0.505,2.335,1.225,3.069
186.8,0.507,2.229,1.076,3.265
193.4,0.527,2.424,1.166,3.201
174.6,0.515,2.513,1.260,3.248
209.3,0.750,2.163,1.033,3.173
181.1,0.515,2.354,1.081,3.361
183.8,0.642,2.295,1.063,3.281
197.0,0.558,2.232,1.067,3.400
186.3,0.590,2.286,1.131,3.218
178.7,0.521,2.298,1.135,3.042
195.3,0.527,2.238,1.051,3.196
193.3,0.594,2.297,1.012,3.247
188.3,0.502,2.387,1.196,3.266
191.4,0.473,2.312,1.194,3.175
194.8,0.518,2.298,1.041,3.186
178.4,0.517,2.245,1.318,3.310
193.0,0.622,2.172,1.056,3.135
186.8,0.656,2.286,1.075,3.288
200.4,0.820,2.202,1.023,3.222
176.9,0.618,2.279,1.019,3.269
205.2,0.545,2.413,0.950,3.218
183.4,0.568,2.329,1.053,3.361
208.4,0.698,2.169,1.040,3.149
186.4,0.562,2.269,1.121,3.343
191.0,0.656,2.241,0.941,3.201
198.4,0.562,2.342,1.120,3.194
187.7,0.588,2.280,1.043,3.212
192.3,0.533,2.420,1.154,3.245
182.0,0.596,2.274,0.970,3.140
190.1,0.576,2.284,1.081,3.123
186.2,0.567,2.394,1.040,3.233
202.1,0.638,2.282,1.015,3.141
195.5,0.613,2.291,1.110,3.117
184.3,0.517,2.535,1.116,3.139
192.1,0.765,2.211,0.956,3.187
182.8,0.545,2.406,1.086,3.261
189.0,0.572,2.311,1.062,3.057
187.7,0.687,2.214,1.017,3.201
184.4,0.502,2.297,1.130,3.219
184.8,0.545,2.348,0.972,3.177
185.6,0.504,2.450,1.225,3.380
196.2,0.587,2.268,0.981,3.095
203.2,0.551,2.349,1.089,3.140
185.7,0.615,2.364,1.088,3.181
183.7,0.524,2.399,1.142,3.270
202.6,0.456,2.324,1.131,3.142
184.5,0.483,2.301,1.190,3.205
192.4,0.518,2.320,1.129,3.201
204.8,0.697,2.195,1.058,3.258
184.2,0.550,2.278,1.139,3.203
194.5,0.612,2.377,1.087,3.115
191.0,0.503,2.391,1.144,3.375
179.0,0.521,2.316,1.138,3.119
177.9,0.505,2.488,1.129,3.106
188.2,0.653,2.242,1.089,3.218
215.2,0.687,2.208,1.056,3.097
188.3,0.498,2.366,1.232,3.151
193.7,0.549,2.268,1.149,3.216
184.1,0.508,2.226,1.092,3.091
179.4,0.593,2.317,1.031,3.324
174.3,0.506,2.371,1.036,3.298
175.4,0.628,2.388,1.023,3.265
192.7,0.638,2.136,1.116,3.143
179.0,0.535,2.352,1.219,3.187
200.5,0.694,2.246,0.914,3.216
185.3,0.529,2.381,1.300,3.120
188.6,0.502,2.457,1.216,3.251
197.9,0.516,2.319,1.073,3.145
207.5,0.682,2.271,1.023,3.174
195.2,0.533,2.376,1.100,3.096
176.9,0.596,2.283,1.131,3.151
197.5,0.469,2.303,1.133,3.066
181.9,0.476,2.406,1.214,3.164
221.3,0.912,2.179,0.918,3.262
199.1,0.552,2.273,1.076,3.275
190.5,0.550,2.462,1.069,3.192
199.7,0.717,2.120,1.122,3.132
191.2,0.581,2.181,1.045,3.044
194.5,0.597,2.277,1.001,3.285
177.9,0.532,2.375,1.060,3.244
190.4,0.482,2.313,1.292,3.306
194.9,0.579,2.266,1.092,3.138
190.6,0.534,2.220,1.044,3.164
187.2,0.479,2.429,1.139,3.362
191.3,0.544,2.403,1.108,3.092
199.1,0.726,2.146,0.877,3.285
178.1,0.504,2.455,1.061,3.060
196.1,0.702,2.192,1.038,3.151
192.7,0.482,2.421,1.187,3.092
194.7,0.539,2.297,1.046,3.088
196.1,0.553,2.355,1.056,3.129
189.4,0.608,2.274,1.080,3.276
184.4,0.584,2.432,1.113,3.202
187.9,0.473,2.550,1.235,3.217
189.9,0.489,2.362,1.022,3.249
180.4,0.498,2.338,1.171,3.321
186.4,0.644,2.358,1.048,3.259
193.4,0.545,2.450,1.096,3.219
184.2,0.541,2.469,1.109,3.243
194.7,0.553,2.191,1.123,3.115
188.1,0.494,2.395,1.150,3.194
187.7,0.571,2.340,1.064,3.225
190.6,0.586,2.325,0.992,3.084
210.6,0.554,2.300,1.025,3.163
192.7,0.551,2.331,0.977,3.200
182.7,0.569,2.336,1.099,3.286
216.2,0.694,2.121,1.075,3.021
185.0,0.560,2.350,1.121,3.228
187.0,0.555,2.324,1.054,3.200
185.6,0.545,2.292,1.097,3.402
182.5,0.501,2.480,1.180,3.265
193.3,0.662,2.267,0.973,3.318
187.6,0.572,2.365,1.070,3.250
211.9,0.688,2.247,1.019,3.344
196.1,0.577,2.363,1.072,3.192
190.0,0.524,2.537,1.084,3.282
189.1,0.555,2.334,1.129,3.262
202.5,0.667,2.366,1.140,3.297
197.7,0.544,2.441,1.076,3.308
195.5,0.518,2.368,1.117,3.132
194.3,0.499,2.345,1.223,3.209
172.2,0.551,2.380,1.134,2.988
205.1,0.641,2.434,1.070,3.245
183.5,0.549,2.238,1.083,3.203
182.9,0.531,2.492,1.118,3.229
178.6,0.529,2.364,1.162,3.189
183.4,0.566,2.389,1.092,3.188
201.1,0.613,2.448,0.982,3.247
223.5,0.804,2.328,0.894,3.327
202.8,0.762,2.149,0.971,3.265
190.8,0.540,2.343,1.109,3.081
181.4,0.493,2.454,1.203,3.204
196.9,0.594,2.254,1.088,3.232
199.8,0.504,2.397,1.123,3.133
195.3,0.788,2.120,1.006,3.207
177.4,0.530,2.370,1.102,3.364
189.6,0.574,2.277,1.120,3.195
184.0,0.620,2.389,1.056,3.059
186.6,0.494,2.363,1.147,3.219
194.1,0.493,2.244,1.107,3.232
199.3,0.763,2.105,1.030,3.325
171.0,0.521,2.292,1.167,3.212
183.3,0.482,2.357,1.250,3.164
182.8,0.487,2.339,1.197,3.220
194.5,0.533,2.276,1.196,3.118
185.6,0.563,2.337,1.119,3.400
180.4,0.557,2.419,1.152,3.217
191.9,0.510,2.279,1.102,3.155
182.6,0.525,2.345,1.215,3.253
189.2,0.703,2.211,1.031,3.182
186.5,0.495,2.387,1.158,3.399
198.4,0.511,2.264,1.050,3.206
187.3,0.490,2.426,1.169,3.295
188.5,0.528,2.355,1.067,3.286
184.7,0.440,2.494,1.212,3.308
196.1,0.516,2.272,1.221,3.213
189.6,0.704,2.168,1.078,3.335
191.0,0.615,2.246,1.075,3.236
185.9,0.564,2.399,1.132,3.178
185.0,0.522,2.355,1.150,3.260
186.1,0.569,2.455,1.154,3.028
188.1,0.555,2.348,1.083,3.214
197.8,0.599,2.326,1.084,3.213
180.0,0.568,2.215,1.165,3.056
177.0,0.592,2.253,1.061,3.129
189.7,0.554,2.586,1.027,3.300
200.0,0.759,2.266,0.962,3.199
178.2,0.578,2.328,1.142,3.285
208.6,0.680,2.392,0.976,3.025
199.5,0.511,2.389,1.097,3.127
178.8,0.526,2.305,1.105,3.250
207.9,0.675,2.245,1.054,2.971
190.3,0.631,2.350,1.023,3.217
201.6,0.555,2.181,1.099,3.119
195.8,0.606,2.309,1.057,3.169
188.8,0.538,2.257,0.976,3.187
185.3,0.501,2.356,1.173,3.317
190.6,0.463,2.504,1.217,3.196
211.1,0.753,2.228,0.901,3.208
195.4,0.509,2.364,1.193,3.174
192.1,0.510,2.403,1.104,3.162
205.1,0.580,2.251,1.085,3.240
192.9,0.553,2.268,1.062,3.209
193.2,0.614,2.260,1.087,3.098
194.5,0.627,2.325,1.042,3.329
175.8,0.514,2.496,1.194,3.258
212.1,0.656,2.318,0.948,3.197
182.0,0.552,2.322,1.129,3.145
197.6,0.707,2.210,1.070,3.088
186.6,0.646,2.347,1.089,3.064
185.1,0.536,2.405,1.154,3.268
197.2,0.614,2.312,1.014,3.191
198.3,0.659,2.161,1.036,3.233
202.9,0.591,2.499,0.864,3.212
188.1,0.514,2.395,1.081,3.112
189.0,0.624,2.240,1.080,3.095
190.2,0.580,2.377,1.040,3.135
179.9,0.524,2.295,1.032,3.214
184.2,0.499,2.313,1.179,3.071
191.1,0.525,2.263,1.139,3.020
185.9,0.556,2.267,1.126,3.227
186.2,0.528,2.320,1.157,3.280
224.0,0.775,2.311,0.829,3.204
179.9,0.529,2.274,1.141,3.231
184.7,0.535,2.386,1.153,3.167
174.1,0.473,2.406,1.246,3.269
181.2,0.460,2.443,1.175,3.179
199.3,0.515,2.310,1.179,3.136
193.8,0.507,2.405,1.020,3.089
181.1,0.551,2.396,1.098,3.324
193.3,0.529,2.279,1.096,3.293
185.2,0.569,2.437,1.082,3.219
191.3,0.523,2.290,1.222,3.167
196.6,0.490,2.361,1.101,3.242
188.3,0.573,2.339,1.145,3.112
186.2,0.588,2.252,1.105,3.081
190.5,0.527,2.384,1.199,2.968
179.1,0.494,2.235,1.112,3.183
197.0,0.526,2.318,1.122,3.229
191.7,0.615,2.291,1.034,3.184
203.3,0.639,2.212,0.993,3.137
192.2,0.583,2.325,1.037,3.231
178.5,0.603,2.232,1.085,3.142
190.8,0.511,2.296,1.131,3.276
196.7,0.482,2.315,1.133,3.102
180.0,0.535,2.443,1.081,3.238
198.8,0.619,2.238,0.999,3.123
187.2,0.473,2.446,1.222,3.174
183.5,0.591,2.194,1.053,3.124
194.1,0.620,2.403,0.999,3.174
188.1,0.500,2.447,1.135,3.325
182.0,0.598,2.327,0.971,3.276
194.7,0.480,2.373,1.143,3.240
190.9,0.492,2.368,1.113,3.177
182.7,0.539,2.292,1.014,3.347
196.8,0.624,2.352,1.039,3.244
187.4,0.733,2.272,1.028,3.224
189.0,0.502,2.360,1.204,3.180
182.2,0.485,2.296,1.244,3.193
187.3,0.527,2.289,1.192,3.347
187.5,0.543,2.375,1.066,3.049
218.1,0.805,2.175,0.953,3.040
206.5,0.629,2.269,0.905,3.136
183.5,0.531,2.426,1.135,3.114
193.2,0.695,2.229,1.042,3.301
200.6,0.510,2.357,1.240,3.101
179.2,0.564,2.194,1.048,3.115
193.9,0.523,2.279,1.181,3.122
190.5,0.504,2.383,1.093,3.187
197.5,0.493,2.443,1.145,2.985
185.4,0.483,2.461,1.214,3.213
207.8,0.675,2.249,0.966,3.186
190.7,0.554,2.316,1.060,3.160
189.6,0.576,2.289,1.042,3.230
189.3,0.610,2.262,1.107,3.274
176.5,0.506,2.353,1.142,3.286
186.2,0.551,2.354,1.083,3.173
195.2,0.502,2.320,1.151,3.113
192.9,0.492,2.286,1.176,3.094
205.1,0.628,2.354,1.036,3.219
185.7,0.565,2.314,1.069,3.173
202.5,0.716,2.152,0.979,3.413
194.3,0.544,2.461,1.022,3.005
179.2,0.504,2.355,1.119,3.145
179.4,0.547,2.362,1.203,3.157
185.7,0.553,2.334,1.129,3.208
189.6,0.579,2.223,1.036,3.024
189.1,0.494,2.359,1.171,3.126
206.4,0.512,2.312,1.189,2.983
180.2,0.492,2.453,1.239,3.175
201.2,0.688,2.218,1.058,3.088
190.0,0.549,2.277,1.004,3.164
185.8,0.534,2.395,1.183,3.170
204.0,0.714,2.270,0.862,3.141
187.8,0.484,2.374,1.183,3.110
228.3,0.865,2.177,0.842,3.307
191.7,0.613,2.267,0.988,3.076
176.5,0.602,2.439,1.063,3.261
186.8,0.509,2.370,1.090,3.150
180.5,0.489,2.408,1.167,3.212
183.3,0.558,2.325,1.086,3.165
187.7,0.600,2.283,1.061,3.269
176.5,0.521,2.453,1.142,3.248
220.7,0.884,2.295,0.860,3.304
203.0,0.563,2.256,1.062,3.097
193.2,0.471,2.496,1.012,3.134
205.5,0.506,2.260,1.156,3.295
183.2,0.641,2.294,1.047,3.117
187.9,0.538,2.305,1.187,3.179
197.1,0.547,2.338,1.016,3.142
194.3,0.582,2.281,1.108,3.115
190.6,0.656,2.220,1.017,3.222
188.1,0.528,2.335,1.144,3.077
188.2,0.493,2.429,1.192,3.124
191.9,0.639,2.362,1.101,3.099
200.0,0.571,2.373,1.112,3.263
186.5,0.540,2.289,1.171,3.270
194.5,0.569,2.249,1.196,3.092
208.0,0.684,2.388,0.994,3.193
192.7,0.507,2.325,1.065,3.215
197.5,0.596,2.311,0.982,3.068
186.4,0.637,2.258,1.060,3.178
195.4,0.546,2.285,1.144,3.113
193.1,0.548,2.235,1.147,3.228
197.7,0.514,2.296,1.221,3.395
198.4,0.520,2.446,1.063,3.267
195.4,0.509,2.323,1.140,3.184
190.9,0.712,2.320,1.029,3.186
192.0,0.505,2.488,1.124,3.304
188.9,0.590,2.262,1.134,3.206
194.1,0.486,2.369,1.155,3.161
191.1,0.621,2.259,1.071,3.006
190.9,0.532,2.464,1.057,3.101
172.4,0.555,2.348,1.138,3.272
197.6,0.487,2.503,1.179,3.184
179.1,0.521,2.366,1.166,3.092
212.6,0.756,2.241,0.959,3.184
191.0,0.720,2.214,0.971,3.199
214.9,0.759,2.278,0.881,3.145
204.4,0.562,2.287,1.027,3.040
196.3,0.542,2.261,1.110,3.250
179.0,0.552,2.372,0.984,3.207
182.1,0.557,2.454,1.134,3.191
196.8,0.491,2.317,1.096,3.162
194.8,0.542,2.236,1.097,3.158
181.5,0.485,2.375,1.179,3.388
194.3,0.575,2.296,1.045,2.968
181.8,0.525,2.392,1.114,3.348
190.7,0.598,2.390,1.111,3.272
188.6,0.518,2.410,1.217,3.054
190.1,0.585,2.249,0.963,3.185
182.6,0.517,2.456,1.195,3.186
187.9,0.527,2.212,1.178,3.217
207.5,0.724,2.295,0.870,2.915
201.4,0.562,1.799,1.104,3.300
190.2,0.528,2.450,1.003,3.132
189.2,0.477,2.304,1.255,3.009
189.0,0.490,2.353,1.099,3.160
201.2,0.547,2.375,1.085,3.158
203.4,0.668,2.323,0.920,3.160
186.2,0.534,2.364,1.384,3.111
184.8,0.558,2.361,1.134,3.309
196.7,0.497,2.394,0.988,3.124
188.8,0.487,2.434,1.096,3.183
184.2,0.512,2.246,1.160,3.121
189.3,0.496,2.328,1.248,2.997
177.0,0.528,2.386,1.105,3.182
181.7,0.623,2.374,1.004,3.297
179.5,0.547,2.400,1.115,3.208
188.2,0.489,2.408,1.264,3.256
193.5,0.535,2.274,1.153,3.226
190.4,0.550,2.352,1.142,3.173
200.0,0.502,2.410,1.158,3.176
185.3,0.480,2.389,1.177,3.255
176.5,0.497,2.401,1.189,3.194
189.4,0.496,2.441,1.168,3.090
192.8,0.607,2.328,1.012,3.296
199.7,0.507,2.271,1.211,3.256
174.7,0.534,2.348,1.147,3.232
189.5,0.524,2.360,1.174,3.262
184.8,0.517,2.418,1.088,3.429
183.7,0.537,2.366,1.119,3.202
189.1,0.617,2.281,1.036,3.126
190.1,0.552,2.366,1.204,3.208
190.3,0.523,2.334,1.146,3.306
200.2,0.548,2.307,1.133,3.288
175.5,0.565,2.231,1.178,3.211
198.4,0.513,2.243,1.003,3.174
179.8,0.484,2.368,1.156,3.079
194.1,0.550,2.283,1.140,3.307
190.5,0.489,2.390,1.240,3.220
200.8,0.508,2.293,1.169,3.300
184.5,0.545,2.262,0.984,3.141
196.8,0.600,2.370,1.049,3.156
191.7,0.562,2.341,0.962,3.239
206.6,0.742,2.283,0.876,3.131
196.0,0.692,2.240,1.153,2.971
190.2,0.579,2.212,1.088,3.324
215.8,0.650,2.164,0.991,3.101
184.7,0.496,2.478,1.227,3.100
194.6,0.626,2.213,1.066,3.264
186.7,0.511,2.468,1.130,3.211
192.8,0.514,2.372,1.212,3.195
190.6,0.584,2.176,1.090,3.163
200.9,0.634,2.290,1.080,3.324
196.0,0.607,2.314,1.055,3.125
203.4,0.731,2.248,0.888,3.346
174.5,0.492,2.358,1.141,3.263
204.0,0.534,2.345,1.148,3.208
195.0,0.694,2.259,1.036,3.183
203.5,0.705,2.181,0.942,3.203
194.8,0.717,2.406,1.054,3.499
199.3,0.658,2.295,0.957,3.165
203.2,0.489,2.366,1.099,3.298
216.6,0.713,2.199,0.958,3.105
184.6,0.499,2.471,1.204,3.328
191.9,0.670,2.226,0.986,3.217
199.6,0.762,2.192,1.022,3.337
184.8,0.587,2.345,1.114,3.217
